dataset,granularity,model,fold,method,ece,best_lambda,n_concepts,n_concepts_fitted,share_rows_with_own_curve,n_test
algebra2005,concept,akt,2,none,0.007056007288520676,inf,111,101,0.9750063115374905,134674
algebra2005,concept,akt,2,isotonic,0.004412116345837776,inf,111,101,0.9750063115374905,134674
algebra2005,concept,akt,2,concept_aware_lambda0,0.005980387391786433,inf,111,101,0.9750063115374905,134674
algebra2005,concept,akt,2,concept_aware_eb,0.004412116345837776,inf,111,101,0.9750063115374905,134674
algebra2005,concept,akt,2,difficulty_bucket,0.004491264627255396,inf,111,101,0.9750063115374905,134674
algebra2005,concept,akt,3,none,0.013500967556552739,100.0,110,103,0.9754295558162674,134674
algebra2005,concept,akt,3,isotonic,0.0022850928274715117,100.0,110,103,0.9754295558162674,134674
algebra2005,concept,akt,3,concept_aware_lambda0,0.003683942900301906,100.0,110,103,0.9754295558162674,134674
algebra2005,concept,akt,3,concept_aware_eb,0.0031542012366927645,100.0,110,103,0.9754295558162674,134674
algebra2005,concept,akt,3,difficulty_bucket,0.002442260739710637,100.0,110,103,0.9754295558162674,134674
algebra2005,concept,akt,4,none,0.0051571082464536774,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,akt,4,isotonic,0.0028353143052792717,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,akt,4,concept_aware_lambda0,0.004328452103821229,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,akt,4,concept_aware_eb,0.0028696707530145005,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,akt,4,difficulty_bucket,0.0029105470389246438,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,simplekt,0,none,0.02371641297142935,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,simplekt,0,isotonic,0.0060080154657046565,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,simplekt,0,concept_aware_lambda0,0.006409240686251466,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,simplekt,0,concept_aware_eb,0.00620689368468227,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,simplekt,0,difficulty_bucket,0.005988020425827093,100000.0,111,103,0.9754295558162674,134674
algebra2005,concept,simplekt,1,none,0.013873042681580124,100.0,112,102,0.9751473929637495,134674
algebra2005,concept,simplekt,1,isotonic,0.007786660841366795,100.0,112,102,0.9751473929637495,134674
algebra2005,concept,simplekt,1,concept_aware_lambda0,0.007218013300949729,100.0,112,102,0.9751473929637495,134674
algebra2005,concept,simplekt,1,concept_aware_eb,0.006609303907444332,100.0,112,102,0.9751473929637495,134674
algebra2005,concept,simplekt,1,difficulty_bucket,0.00780959864821848,100.0,112,102,0.9751473929637495,134674
algebra2005,concept,simplekt,2,none,0.029991370775586768,inf,111,101,0.9750063115374905,134674
algebra2005,concept,simplekt,2,isotonic,0.004149508176530846,inf,111,101,0.9750063115374905,134674
algebra2005,concept,simplekt,2,concept_aware_lambda0,0.006120457534767471,inf,111,101,0.9750063115374905,134674
algebra2005,concept,simplekt,2,concept_aware_eb,0.004149508176530846,inf,111,101,0.9750063115374905,134674
algebra2005,concept,simplekt,2,difficulty_bucket,0.0042769362734174626,inf,111,101,0.9750063115374905,134674
algebra2005,concept,simplekt,3,none,0.029260767805368498,1000.0,110,103,0.9754295558162674,134674
algebra2005,concept,simplekt,3,isotonic,0.003212284394137318,1000.0,110,103,0.9754295558162674,134674
algebra2005,concept,simplekt,3,concept_aware_lambda0,0.005784898648289459,1000.0,110,103,0.9754295558162674,134674
algebra2005,concept,simplekt,3,concept_aware_eb,0.0027392177306197725,1000.0,110,103,0.9754295558162674,134674
algebra2005,concept,simplekt,3,difficulty_bucket,0.0033615883832495506,1000.0,110,103,0.9754295558162674,134674
algebra2005,concept,simplekt,4,none,0.01777508933794809,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,simplekt,4,isotonic,0.004129153977677696,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,simplekt,4,concept_aware_lambda0,0.005594994570624211,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,simplekt,4,concept_aware_eb,0.004354152810710264,5000.0,110,97,0.9739667641861087,134674
algebra2005,concept,simplekt,4,difficulty_bucket,0.004163008113692189,5000.0,110,97,0.9739667641861087,134674
assist2009,concept,dkt,0,none,0.007414167955992682,5000.0,116,92,0.9913575859395193,61904
assist2009,concept,dkt,0,isotonic,0.009417894153766945,5000.0,116,92,0.9913575859395193,61904
assist2009,concept,dkt,0,concept_aware_lambda0,0.015358643491549216,5000.0,116,92,0.9913575859395193,61904
assist2009,concept,dkt,0,concept_aware_eb,0.009815394301984278,5000.0,116,92,0.9913575859395193,61904
assist2009,concept,dkt,0,difficulty_bucket,0.009398755434433564,5000.0,116,92,0.9913575859395193,61904
assist2009,concept,dkt,1,none,0.008644893486503342,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,dkt,1,isotonic,0.012392594600443204,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,dkt,1,concept_aware_lambda0,0.01769666423583928,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,dkt,1,concept_aware_eb,0.013828477588079053,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,dkt,1,difficulty_bucket,0.012390533715712469,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,dkt,2,none,0.010021374641505458,1000.0,118,101,0.9964622641509434,61904
assist2009,concept,dkt,2,isotonic,0.011096229315543556,1000.0,118,101,0.9964622641509434,61904
assist2009,concept,dkt,2,concept_aware_lambda0,0.019550946609975056,1000.0,118,101,0.9964622641509434,61904
assist2009,concept,dkt,2,concept_aware_eb,0.01254198669687619,1000.0,118,101,0.9964622641509434,61904
assist2009,concept,dkt,2,difficulty_bucket,0.011060990005488207,1000.0,118,101,0.9964622641509434,61904
assist2009,concept,dkt,3,none,0.0070721255327803705,5000.0,117,98,0.9943783923494443,61904
assist2009,concept,dkt,3,isotonic,0.011735547916735468,5000.0,117,98,0.9943783923494443,61904
assist2009,concept,dkt,3,concept_aware_lambda0,0.01941785826654108,5000.0,117,98,0.9943783923494443,61904
assist2009,concept,dkt,3,concept_aware_eb,0.011830633589203,5000.0,117,98,0.9943783923494443,61904
assist2009,concept,dkt,3,difficulty_bucket,0.011776927909659663,5000.0,117,98,0.9943783923494443,61904
assist2009,concept,dkt,4,none,0.01264908009171397,5000.0,112,94,0.991276815714655,61904
assist2009,concept,dkt,4,isotonic,0.006738685897338591,5000.0,112,94,0.991276815714655,61904
assist2009,concept,dkt,4,concept_aware_lambda0,0.014807576059517089,5000.0,112,94,0.991276815714655,61904
assist2009,concept,dkt,4,concept_aware_eb,0.006995732472497612,5000.0,112,94,0.991276815714655,61904
assist2009,concept,dkt,4,difficulty_bucket,0.006549141057070951,5000.0,112,94,0.991276815714655,61904
assist2009,concept,sakt,0,none,0.04015854801080865,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,sakt,0,isotonic,0.010047348576914023,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,sakt,0,concept_aware_lambda0,0.02072889955723742,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,sakt,0,concept_aware_eb,0.014661699826619355,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,sakt,0,difficulty_bucket,0.010125277137875583,1000.0,116,92,0.9913575859395193,61904
assist2009,concept,sakt,1,none,0.04249956474733232,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,sakt,1,isotonic,0.009272738106922408,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,sakt,1,concept_aware_lambda0,0.02091002915935812,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,sakt,1,concept_aware_eb,0.011226264270933406,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,sakt,1,difficulty_bucket,0.009280344758737737,5000.0,113,93,0.9899683380718531,61904
assist2009,concept,sakt,2,none,0.03825182835630443,inf,118,101,0.9964622641509434,61904
assist2009,concept,sakt,2,isotonic,0.012917450556096794,inf,118,101,0.9964622641509434,61904
assist2009,concept,sakt,2,concept_aware_lambda0,0.027220635798415677,inf,118,101,0.9964622641509434,61904
assist2009,concept,sakt,2,concept_aware_eb,0.012917450556096794,inf,118,101,0.9964622641509434,61904
assist2009,concept,sakt,2,difficulty_bucket,0.013000429214235625,inf,118,101,0.9964622641509434,61904
assist2009,concept,sakt,3,none,0.04516834967189442,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,sakt,3,isotonic,0.009497674172777453,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,sakt,3,concept_aware_lambda0,0.019384075874697156,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,sakt,3,concept_aware_eb,0.009546644760063536,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,sakt,3,difficulty_bucket,0.009472305507801485,100000.0,117,98,0.9943783923494443,61904
assist2009,concept,sakt,4,none,0.033467823304739054,5000.0,112,94,0.991276815714655,61904
assist2009,concept,sakt,4,isotonic,0.009194434244969203,5000.0,112,94,0.991276815714655,61904
assist2009,concept,sakt,4,concept_aware_lambda0,0.018107863896032132,5000.0,112,94,0.991276815714655,61904
assist2009,concept,sakt,4,concept_aware_eb,0.00908833465092907,5000.0,112,94,0.991276815714655,61904
assist2009,concept,sakt,4,difficulty_bucket,0.009279959908493543,5000.0,112,94,0.991276815714655,61904
