dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
assist2015,dkt,none,5,"0,1,2,3,4",0.008895,0.001718,0.726813,0.000347,0.170566,6.2e-05,134592
assist2015,dkt,platt,5,"0,1,2,3,4",0.004454,0.000502,0.726813,0.000347,0.170486,5.4e-05,134592
assist2015,dkt,temperature,5,"0,1,2,3,4",0.007395,0.00325,0.726813,0.000347,0.170545,6.6e-05,134592
assist2015,sakt,isotonic,5,"0,1,2,3,4",0.005186,0.000827,0.704632,0.000296,0.174963,8.4e-05,134592
assist2015,sakt,none,5,"0,1,2,3,4",0.019957,0.003468,0.704797,0.000316,0.175379,0.000213,134592
assist2015,sakt,platt,5,"0,1,2,3,4",0.005665,0.001448,0.704797,0.000316,0.174925,0.000116,134592
assist2015,sakt,temperature,5,"0,1,2,3,4",0.007076,0.001476,0.704797,0.000316,0.174945,8.8e-05,134592
assist2015,simplekt,isotonic,5,"0,1,2,3,4",0.005187,0.000854,0.717503,0.00122,0.172375,0.000242,134592
assist2015,simplekt,none,5,"0,1,2,3,4",0.020198,0.008703,0.717655,0.001229,0.172899,0.00057,134592
assist2015,simplekt,platt,5,"0,1,2,3,4",0.005781,0.000713,0.717655,0.001229,0.172357,0.000219,134592
assist2015,simplekt,temperature,5,"0,1,2,3,4",0.012644,0.004606,0.717655,0.001229,0.172612,0.00027,134592
assist2017,akt,isotonic,5,"0,1,2,3,4",0.005015,0.00073,0.758339,0.000691,0.187983,0.000218,177767
assist2017,akt,none,5,"0,1,2,3,4",0.017438,0.002349,0.758436,0.000696,0.188394,0.000188,177767
assist2017,akt,platt,5,"0,1,2,3,4",0.005001,0.001016,0.758436,0.000696,0.187921,0.000212,177767
assist2017,akt,temperature,5,"0,1,2,3,4",0.017524,0.004066,0.758436,0.000696,0.188288,0.000204,177767
assist2017,dkt,isotonic,5,"0,1,2,3,4",0.004949,0.000916,0.715102,0.001886,0.201606,0.000487,177767
assist2017,dkt,none,5,"0,1,2,3,4",0.017068,0.005351,0.715229,0.001859,0.201941,0.000571,177767
assist2017,dkt,platt,5,"0,1,2,3,4",0.00501,0.000571,0.715229,0.001859,0.201542,0.000495,177767
assist2017,dkt,temperature,5,"0,1,2,3,4",0.018366,0.006456,0.715229,0.001859,0.201947,0.000585,177767
assist2017,sakt,isotonic,5,"0,1,2,3,4",0.004002,0.000912,0.652776,0.001056,0.215947,0.000256,177767
assist2017,sakt,none,5,"0,1,2,3,4",0.01067,0.001477,0.652962,0.000988,0.216047,0.000199,177767
assist2017,sakt,platt,5,"0,1,2,3,4",0.005135,0.000736,0.652962,0.000988,0.215902,0.000241,177767
assist2017,sakt,temperature,5,"0,1,2,3,4",0.007885,0.002168,0.652962,0.000988,0.215953,0.000197,177767
assist2017,simplekt,isotonic,5,"0,1,2,3,4",0.00409,0.001553,0.754865,0.002494,0.188795,0.000892,177767
assist2017,simplekt,none,5,"0,1,2,3,4",0.023128,0.005777,0.754952,0.002499,0.189447,0.000725,177767
assist2017,simplekt,platt,5,"0,1,2,3,4",0.007358,0.002477,0.754952,0.002499,0.188798,0.000852,177767
assist2017,simplekt,temperature,5,"0,1,2,3,4",0.017431,0.00982,0.754952,0.002499,0.189228,0.000804,177767
bridge2algebra2006,akt,isotonic,5,"0,1,2,3,4",0.00269,0.000736,0.80675,0.000706,0.107457,0.000172,353631
bridge2algebra2006,akt,none,5,"0,1,2,3,4",0.006987,0.001184,0.806862,0.000703,0.107501,0.000223,353631
bridge2algebra2006,akt,platt,5,"0,1,2,3,4",0.003003,0.000835,0.806862,0.000703,0.107438,0.000169,353631
bridge2algebra2006,akt,temperature,5,"0,1,2,3,4",0.004986,0.002361,0.806862,0.000703,0.107499,0.000237,353631
bridge2algebra2006,dkt,isotonic,5,"0,1,2,3,4",0.00335,0.000887,0.796716,0.000706,0.108492,0.000215,353631
bridge2algebra2006,dkt,none,5,"0,1,2,3,4",0.005824,0.001002,0.79681,0.000741,0.108531,0.000229,353631
bridge2algebra2006,dkt,platt,5,"0,1,2,3,4",0.003101,0.001138,0.79681,0.000741,0.108464,0.00022,353631
bridge2algebra2006,dkt,temperature,5,"0,1,2,3,4",0.005731,0.001653,0.79681,0.000741,0.108531,0.000247,353631
bridge2algebra2006,sakt,isotonic,5,"0,1,2,3,4",0.003028,0.000934,0.76097,0.000657,0.115157,9.8e-05,353631
bridge2algebra2006,sakt,none,5,"0,1,2,3,4",0.014168,0.002506,0.761116,0.000658,0.115469,0.000132,353631
bridge2algebra2006,sakt,platt,5,"0,1,2,3,4",0.003017,0.000698,0.761116,0.000658,0.115134,9.2e-05,353631
bridge2algebra2006,sakt,temperature,5,"0,1,2,3,4",0.010647,0.002188,0.761116,0.000658,0.115429,0.000121,353631
bridge2algebra2006,simplekt,isotonic,5,"0,1,2,3,4",0.003037,0.001014,0.806084,0.001467,0.106964,0.0005,353631
bridge2algebra2006,simplekt,none,5,"0,1,2,3,4",0.019177,0.009743,0.806209,0.001446,0.107572,0.000972,353631
bridge2algebra2006,simplekt,platt,5,"0,1,2,3,4",0.006224,0.00232,0.806209,0.001446,0.107018,0.000473,353631
bridge2algebra2006,simplekt,temperature,5,"0,1,2,3,4",0.012435,0.005194,0.806209,0.001446,0.107322,0.000645,353631
ednet,akt,isotonic,5,"0,1,2,3,4",0.005244,0.003045,0.923728,0.002083,0.095511,0.001173,301372
ednet,akt,none,5,"0,1,2,3,4",0.003361,0.000969,0.923766,0.002093,0.095429,0.0012,301372
ednet,akt,platt,5,"0,1,2,3,4",0.00532,0.002773,0.923766,0.002093,0.095471,0.001179,301372
ednet,akt,temperature,5,"0,1,2,3,4",0.004186,0.001013,0.923766,0.002093,0.095442,0.001193,301372
