dataset,model,fold,n_test,method,ece,auc,brier
assist2012,pfa_recency,1,542817,isotonic,0.001699,0.673341,0.194479
assist2012,pfa_recency,1,542817,temperature,0.010238,0.673234,0.194836
assist2012,pfa_recency,2,542817,none,0.009648,0.673164,0.194827
assist2012,pfa_recency,2,542817,platt,0.010292,0.673164,0.194832
assist2012,pfa_recency,2,542817,isotonic,0.002205,0.673304,0.194489
assist2012,pfa_recency,2,542817,temperature,0.009448,0.673164,0.194824
assist2012,pfa_recency,3,542817,none,0.009949,0.673278,0.194815
assist2012,pfa_recency,3,542817,platt,0.01234,0.673278,0.194854
assist2012,pfa_recency,3,542817,isotonic,0.00224,0.67338,0.194496
assist2012,pfa_recency,3,542817,temperature,0.010511,0.673278,0.194825
assist2012,pfa_recency,4,542817,none,0.009798,0.673295,0.194809
assist2012,pfa_recency,4,542817,platt,0.011043,0.673295,0.194833
assist2012,pfa_recency,4,542817,isotonic,0.003276,0.673356,0.194488
assist2012,pfa_recency,4,542817,temperature,0.01088,0.673295,0.194831
assist2012,bkt,0,542817,none,0.007341,0.680836,0.192349
assist2012,bkt,0,542817,platt,0.00525,0.680836,0.192339
assist2012,bkt,0,542817,isotonic,0.002894,0.681126,0.192149
assist2012,bkt,0,542817,temperature,0.005312,0.680836,0.192342
assist2012,bkt,1,542817,none,0.006949,0.680724,0.192339
assist2012,bkt,1,542817,platt,0.005475,0.680724,0.192327
assist2012,bkt,1,542817,isotonic,0.002547,0.680945,0.192132
assist2012,bkt,1,542817,temperature,0.005697,0.680724,0.192332
assist2012,bkt,2,542817,none,0.006629,0.680908,0.192331
assist2012,bkt,2,542817,platt,0.006392,0.680908,0.192328
assist2012,bkt,2,542817,isotonic,0.003356,0.681131,0.192122
assist2012,bkt,2,542817,temperature,0.006675,0.680908,0.192332
assist2012,bkt,3,542817,none,0.006461,0.680942,0.192335
assist2012,bkt,3,542817,platt,0.006019,0.680942,0.192335
assist2012,bkt,3,542817,isotonic,0.003167,0.681153,0.192151
assist2012,bkt,3,542817,temperature,0.005648,0.680942,0.192329
assist2012,bkt,4,542817,none,0.006844,0.680866,0.192325
assist2012,bkt,4,542817,platt,0.005276,0.680866,0.192323
assist2012,bkt,4,542817,isotonic,0.002822,0.681115,0.19215
assist2012,bkt,4,542817,temperature,0.004924,0.680866,0.192321
ednet,pfa,0,133974,none,0.043243,0.621717,0.21845
ednet,pfa,0,133974,platt,0.022571,0.621717,0.215726
ednet,pfa,0,133974,isotonic,0.010483,0.622093,0.214863
ednet,pfa,0,133974,temperature,0.023286,0.621717,0.216058
ednet,pfa,1,133974,none,0.044053,0.622562,0.218842
ednet,pfa,1,133974,platt,0.038782,0.622562,0.216707
ednet,pfa,1,133974,isotonic,0.013671,0.622371,0.214876
ednet,pfa,1,133974,temperature,0.055782,0.622562,0.218372
ednet,pfa,2,133974,none,0.040605,0.621587,0.218147
ednet,pfa,2,133974,platt,0.021084,0.621587,0.215983
ednet,pfa,2,133974,isotonic,0.01128,0.621916,0.214949
ednet,pfa,2,133974,temperature,0.021741,0.621587,0.216267
ednet,pfa,3,133974,none,0.049337,0.623009,0.219382
ednet,pfa,3,133974,platt,0.044653,0.623009,0.217087
ednet,pfa,3,133974,isotonic,0.019794,0.623341,0.215265
ednet,pfa,3,133974,temperature,0.058842,0.623009,0.218944
ednet,pfa,4,133974,none,0.043058,0.621932,0.218546
ednet,pfa,4,133974,platt,0.028531,0.621932,0.21658
ednet,pfa,4,133974,isotonic,0.009114,0.622412,0.21487
ednet,pfa,4,133974,temperature,0.044701,0.621932,0.217514
ednet,elorasch,0,133974,none,0.047383,0.641491,0.213957
ednet,elorasch,0,133974,platt,0.006903,0.641491,0.211431
ednet,elorasch,0,133974,isotonic,0.005777,0.641302,0.211438
ednet,elorasch,0,133974,temperature,0.007392,0.641491,0.211432
ednet,elorasch,1,133974,none,0.046444,0.640902,0.213805
ednet,elorasch,1,133974,platt,0.01154,0.640902,0.211537
ednet,elorasch,1,133974,isotonic,0.010547,0.64035,0.211583
ednet,elorasch,1,133974,temperature,0.011092,0.640902,0.211528
ednet,elorasch,2,133974,none,0.047828,0.641586,0.21396
ednet,elorasch,2,133974,platt,0.005848,0.641586,0.211438
ednet,elorasch,2,133974,isotonic,0.004776,0.641264,0.211597
ednet,elorasch,2,133974,temperature,0.006865,0.641586,0.211419
ednet,elorasch,3,133974,none,0.047533,0.641601,0.21397
ednet,elorasch,3,133974,platt,0.025412,0.641601,0.212056
ednet,elorasch,3,133974,isotonic,0.024867,0.641222,0.212086
ednet,elorasch,3,133974,temperature,0.022931,0.641601,0.211934
ednet,elorasch,4,133974,none,0.045891,0.641109,0.213902
ednet,elorasch,4,133974,platt,0.00943,0.641109,0.211553
ednet,elorasch,4,133974,isotonic,0.008859,0.640924,0.211562
ednet,elorasch,4,133974,temperature,0.006209,0.641109,0.211503
ednet,pfa_recency,0,133974,none,0.061656,0.623624,0.221917
ednet,pfa_recency,0,133974,platt,0.025824,0.623624,0.215589
ednet,pfa_recency,0,133974,isotonic,0.010247,0.623609,0.21465
ednet,pfa_recency,0,133974,temperature,0.035644,0.623624,0.216398
ednet,pfa_recency,1,133974,none,0.072675,0.623163,0.224269
ednet,pfa_recency,1,133974,platt,0.031818,0.623163,0.216086
ednet,pfa_recency,1,133974,isotonic,0.014668,0.622884,0.214816
ednet,pfa_recency,1,133974,temperature,0.047744,0.623163,0.217805
ednet,pfa_recency,2,133974,none,0.061939,0.623638,0.222142
ednet,pfa_recency,2,133974,platt,0.027897,0.623638,0.215498
ednet,pfa_recency,2,133974,isotonic,0.009779,0.623785,0.21459
ednet,pfa_recency,2,133974,temperature,0.036244,0.623638,0.216421
ednet,pfa_recency,3,133974,none,0.067582,0.62483,0.222974
ednet,pfa_recency,3,133974,platt,0.040396,0.62483,0.216418
ednet,pfa_recency,3,133974,isotonic,0.018211,0.624755,0.215025
ednet,pfa_recency,3,133974,temperature,0.055567,0.62483,0.218266
ednet,pfa_recency,4,133974,none,0.064328,0.624241,0.222488
ednet,pfa_recency,4,133974,platt,0.032211,0.624241,0.215756
ednet,pfa_recency,4,133974,isotonic,0.009678,0.624258,0.214519
ednet,pfa_recency,4,133974,temperature,0.043003,0.624241,0.217178
ednet,bkt,0,133974,none,0.015593,0.62951,0.213726
ednet,bkt,0,133974,platt,0.016162,0.62951,0.213833
ednet,bkt,0,133974,isotonic,0.011892,0.629291,0.213493
ednet,bkt,0,133974,temperature,0.015199,0.62951,0.213826
ednet,bkt,1,133974,none,0.013172,0.627875,0.213823
ednet,bkt,1,133974,platt,0.022887,0.627875,0.214251
ednet,bkt,1,133974,isotonic,0.02143,0.627848,0.213832
ednet,bkt,1,133974,temperature,0.019003,0.627875,0.214087
ednet,bkt,2,133974,none,0.014235,0.629019,0.213746
ednet,bkt,2,133974,platt,0.017303,0.629019,0.2139
ednet,bkt,2,133974,isotonic,0.015015,0.628593,0.213695
ednet,bkt,2,133974,temperature,0.01612,0.629019,0.213892
ednet,bkt,3,133974,none,0.011122,0.628835,0.213744
ednet,bkt,3,133974,platt,0.018511,0.628835,0.214015
ednet,bkt,3,133974,isotonic,0.014389,0.628702,0.213615
ednet,bkt,3,133974,temperature,0.014337,0.628835,0.213801
ednet,bkt,4,133974,none,0.01389,0.62902,0.213774
ednet,bkt,4,133974,platt,0.011469,0.62902,0.213831
ednet,bkt,4,133974,isotonic,0.00737,0.6286,0.21344
ednet,bkt,4,133974,temperature,0.008354,0.62902,0.213775
