dataset,granularity,family,model,fold,method,axis,quartile,ece,n_rows,n_students,ece_overall,selected_on_outcome
algebra2005,concept,deep,sakt,0,none,ability_prefix10,1,0.02746575651168822,68979,63,0.029661771553802896,False
algebra2005,concept,deep,sakt,0,platt,ability_prefix10,0,0.002951172693351486,64555,51,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,platt,ability_prefix10,1,0.013083368854139051,68979,63,0.006976402057529526,False
algebra2005,concept,deep,sakt,0,isotonic,ability_prefix10,0,0.0037645311167228248,64555,51,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,isotonic,ability_prefix10,1,0.013195678502917736,68979,63,0.006745029819765655,False
algebra2005,concept,deep,sakt,0,temperature,ability_prefix10,0,0.010250274830348802,64555,51,0.004631895423063701,False
algebra2005,concept,deep,sakt,0,temperature,ability_prefix10,1,0.005375830708193478,68979,63,0.004631895423063701,False
algebra2005,concept,deep,sakt,0,none,ability_all_rows,0,0.04038671587015673,76950,57,0.029661771553802896,True
algebra2005,concept,deep,sakt,0,none,ability_all_rows,1,0.02273853920019562,56584,57,0.029661771553802896,True
algebra2005,concept,deep,sakt,0,platt,ability_all_rows,0,0.005946050236591656,76950,57,0.006976402057529526,True
algebra2005,concept,deep,sakt,0,platt,ability_all_rows,1,0.024256445944012477,56584,57,0.006976402057529526,True
algebra2005,concept,deep,sakt,0,isotonic,ability_all_rows,0,0.0068076255874162574,76950,57,0.006745029819765655,True
algebra2005,concept,deep,sakt,0,isotonic,ability_all_rows,1,0.024404374492765165,56584,57,0.006745029819765655,True
algebra2005,concept,deep,sakt,0,temperature,ability_all_rows,0,0.016293754546378107,76950,57,0.004631895423063701,True
algebra2005,concept,deep,sakt,0,temperature,ability_all_rows,1,0.017827302072593334,56584,57,0.004631895423063701,True
algebra2005,concept,deep,sakt,0,none,ability_prefix20,0,0.03250715383442633,59776,52,0.029610462308259953,False
algebra2005,concept,deep,sakt,0,none,ability_prefix20,1,0.028807762328593205,72619,61,0.029610462308259953,False
algebra2005,concept,deep,sakt,0,platt,ability_prefix20,0,0.00421243679842738,59776,52,0.006918598377059546,False
algebra2005,concept,deep,sakt,0,platt,ability_prefix20,1,0.011310218344870471,72619,61,0.006918598377059546,False
algebra2005,concept,deep,sakt,0,isotonic,ability_prefix20,0,0.0048441716818390735,59776,52,0.006699251171576616,False
algebra2005,concept,deep,sakt,0,isotonic,ability_prefix20,1,0.011405655036421517,72619,61,0.006699251171576616,False
