dataset,model,fold,method,ece,auc,brier,n_test
bridge2algebra2006,dkt,0,isotonic,0.003165,0.797526,0.108249,353631
bridge2algebra2006,dkt,0,temperature,0.004094,0.797664,0.108247,353631
bridge2algebra2006,dkt,1,none,0.006635,0.796995,0.108448,353631
bridge2algebra2006,dkt,1,platt,0.001981,0.796995,0.108377,353631
bridge2algebra2006,dkt,1,isotonic,0.003054,0.79689,0.108393,353631
bridge2algebra2006,dkt,1,temperature,0.00469,0.796995,0.108431,353631
bridge2algebra2006,dkt,2,none,0.004558,0.796577,0.108576,353631
bridge2algebra2006,dkt,2,platt,0.003428,0.796577,0.108537,353631
bridge2algebra2006,dkt,2,isotonic,0.00339,0.796481,0.108594,353631
bridge2algebra2006,dkt,2,temperature,0.005444,0.796577,0.108584,353631
bridge2algebra2006,dkt,3,none,0.006199,0.795681,0.10889,353631
bridge2algebra2006,dkt,3,platt,0.004888,0.795681,0.108803,353631
bridge2algebra2006,dkt,3,isotonic,0.00478,0.795645,0.108808,353631
bridge2algebra2006,dkt,3,temperature,0.008374,0.795681,0.108915,353631
bridge2algebra2006,dkt,4,none,0.004964,0.797134,0.10847,353631
bridge2algebra2006,dkt,4,platt,0.002349,0.797134,0.108384,353631
bridge2algebra2006,dkt,4,isotonic,0.002361,0.797039,0.108414,353631
bridge2algebra2006,dkt,4,temperature,0.006051,0.797134,0.108477,353631
bridge2algebra2006,sakt,0,none,0.014437,0.761613,0.115522,353631
bridge2algebra2006,sakt,0,platt,0.002382,0.761613,0.115152,353631
bridge2algebra2006,sakt,0,isotonic,0.001953,0.76145,0.115171,353631
bridge2algebra2006,sakt,0,temperature,0.010526,0.761613,0.115456,353631
bridge2algebra2006,sakt,1,none,0.012355,0.761873,0.115247,353631
bridge2algebra2006,sakt,1,platt,0.002603,0.761873,0.115006,353631
bridge2algebra2006,sakt,1,isotonic,0.002335,0.761749,0.115026,353631
bridge2algebra2006,sakt,1,temperature,0.008841,0.761873,0.115223,353631
bridge2algebra2006,sakt,2,none,0.013933,0.760911,0.115511,353631
bridge2algebra2006,sakt,2,platt,0.002815,0.760911,0.115122,353631
bridge2algebra2006,sakt,2,isotonic,0.0034,0.760721,0.115164,353631
bridge2algebra2006,sakt,2,temperature,0.012891,0.760911,0.115533,353631
bridge2algebra2006,sakt,3,none,0.011886,0.760993,0.11547,353631
bridge2algebra2006,sakt,3,platt,0.004168,0.760993,0.115265,353631
bridge2algebra2006,sakt,3,isotonic,0.004335,0.760867,0.115299,353631
bridge2algebra2006,sakt,3,temperature,0.008168,0.760993,0.115433,353631
bridge2algebra2006,sakt,4,none,0.01823,0.760191,0.115593,353631
bridge2algebra2006,sakt,4,platt,0.003117,0.760191,0.115123,353631
bridge2algebra2006,sakt,4,isotonic,0.003115,0.760065,0.115125,353631
bridge2algebra2006,sakt,4,temperature,0.012811,0.760191,0.115499,353631
bridge2algebra2006,simplekt,0,none,0.006858,0.808154,0.107026,353631
bridge2algebra2006,simplekt,0,platt,0.004332,0.808154,0.106964,353631
bridge2algebra2006,simplekt,0,isotonic,0.001966,0.808064,0.106954,353631
bridge2algebra2006,simplekt,0,temperature,0.006799,0.808154,0.107015,353631
bridge2algebra2006,simplekt,1,none,0.012604,0.806248,0.1066,353631
bridge2algebra2006,simplekt,1,platt,0.008469,0.806248,0.106558,353631
bridge2algebra2006,simplekt,1,isotonic,0.002886,0.806118,0.106468,353631
bridge2algebra2006,simplekt,1,temperature,0.008712,0.806248,0.106562,353631
bridge2algebra2006,simplekt,2,none,0.018963,0.807025,0.107032,353631
bridge2algebra2006,simplekt,2,platt,0.008403,0.807025,0.10657,353631
bridge2algebra2006,simplekt,2,isotonic,0.002538,0.806903,0.106467,353631
bridge2algebra2006,simplekt,2,temperature,0.0193,0.807025,0.10714,353631
bridge2algebra2006,simplekt,3,none,0.029778,0.804825,0.108854,353631
bridge2algebra2006,simplekt,3,platt,0.006532,0.804825,0.107593,353631
bridge2algebra2006,simplekt,3,isotonic,0.004676,0.804717,0.107509,353631
bridge2algebra2006,simplekt,3,temperature,0.016134,0.804825,0.108245,353631
bridge2algebra2006,simplekt,4,none,0.027681,0.804794,0.108345,353631
bridge2algebra2006,simplekt,4,platt,0.003385,0.804794,0.107407,353631
bridge2algebra2006,simplekt,4,isotonic,0.003121,0.804619,0.107424,353631
bridge2algebra2006,simplekt,4,temperature,0.011229,0.804794,0.107648,353631
ednet,akt,0,none,0.003876,0.921521,0.096722,301372
ednet,akt,0,platt,0.003866,0.921521,0.096714,301372
ednet,akt,0,isotonic,0.002542,0.921481,0.09673,301372
ednet,akt,0,temperature,0.003738,0.921521,0.096723,301372
ednet,akt,1,none,0.002703,0.924804,0.094784,301372
ednet,akt,1,platt,0.009202,0.924804,0.094961,301372
ednet,akt,1,isotonic,0.009258,0.924753,0.095007,301372
ednet,akt,1,temperature,0.005783,0.924804,0.094829,301372
ednet,akt,2,none,0.002372,0.921524,0.096703,301372
ednet,akt,2,platt,0.003486,0.921524,0.096701,301372
ednet,akt,2,isotonic,0.005097,0.921511,0.09674,301372
ednet,akt,2,temperature,0.003299,0.921524,0.096706,301372
ednet,akt,3,none,0.003075,0.925029,0.094783,301372
ednet,akt,3,platt,0.007263,0.925029,0.094888,301372
ednet,akt,3,isotonic,0.007208,0.924979,0.094968,301372
ednet,akt,3,temperature,0.004572,0.925029,0.094806,301372
ednet,akt,4,none,0.004776,0.925952,0.094153,301372
ednet,akt,4,platt,0.002785,0.925952,0.094094,301372
ednet,akt,4,isotonic,0.002113,0.925915,0.094112,301372
ednet,akt,4,temperature,0.003539,0.925952,0.094146,301372
ednet,dkt,0,none,0.00985,0.925847,0.09383,301372
ednet,dkt,0,platt,0.011022,0.925847,0.093894,301372
ednet,dkt,0,isotonic,0.001837,0.925797,0.093556,301372
ednet,dkt,0,temperature,0.011192,0.925847,0.093906,301372
ednet,dkt,1,none,0.009519,0.925611,0.093834,301372
ednet,dkt,1,platt,0.014773,0.925611,0.094342,301372
ednet,dkt,1,isotonic,0.011275,0.92552,0.093974,301372
ednet,dkt,1,temperature,0.009769,0.925611,0.093843,301372
ednet,dkt,2,none,0.010165,0.925027,0.094081,301372
ednet,dkt,2,platt,0.010934,0.925027,0.094114,301372
ednet,dkt,2,isotonic,0.003914,0.924953,0.093871,301372
ednet,dkt,2,temperature,0.011212,0.925027,0.094176,301372
ednet,dkt,3,none,0.009154,0.925396,0.093865,301372
ednet,dkt,3,platt,0.013034,0.925396,0.094251,301372
ednet,dkt,3,isotonic,0.008758,0.925365,0.093912,301372
ednet,dkt,3,temperature,0.009702,0.925396,0.093881,301372
ednet,dkt,4,none,0.008992,0.924717,0.094224,301372
ednet,dkt,4,platt,0.011845,0.924717,0.094439,301372
ednet,dkt,4,isotonic,0.002884,0.924693,0.094041,301372
ednet,dkt,4,temperature,0.011506,0.924717,0.094331,301372
ednet,sakt,0,none,0.022108,0.917873,0.10009,301372
ednet,sakt,0,platt,0.006188,0.917873,0.098991,301372
ednet,sakt,0,isotonic,0.002295,0.917832,0.098891,301372
ednet,sakt,0,temperature,0.00678,0.917873,0.099007,301372
ednet,sakt,1,none,0.030001,0.918181,0.101103,301372
ednet,sakt,1,platt,0.014126,0.918181,0.098795,301372
ednet,sakt,1,isotonic,0.010803,0.918147,0.098444,301372
ednet,sakt,1,temperature,0.024863,0.918181,0.099909,301372
ednet,sakt,2,none,0.017771,0.918379,0.099418,301372
ednet,sakt,2,platt,0.007098,0.918379,0.098684,301372
ednet,sakt,2,isotonic,0.002514,0.918266,0.098583,301372
ednet,sakt,2,temperature,0.009889,0.918379,0.098797,301372
ednet,sakt,3,none,0.016203,0.91763,0.099776,301372
ednet,sakt,3,platt,0.010825,0.91763,0.099315,301372
ednet,sakt,3,isotonic,0.007522,0.917571,0.099182,301372
ednet,sakt,3,temperature,0.010623,0.91763,0.099304,301372
ednet,sakt,4,none,0.013136,0.919041,0.098848,301372
ednet,sakt,4,platt,0.004764,0.919041,0.098325,301372
ednet,sakt,4,isotonic,0.001008,0.918979,0.098306,301372
ednet,sakt,4,temperature,0.010396,0.919041,0.09867,301372
ednet,simplekt,0,none,0.021576,0.940611,0.088204,301372
ednet,simplekt,0,platt,0.009527,0.940611,0.087109,301372
ednet,simplekt,0,isotonic,0.002301,0.940546,0.086869,301372
ednet,simplekt,0,temperature,0.012469,0.940611,0.087241,301372
ednet,simplekt,1,none,0.013842,0.941215,0.087027,301372
ednet,simplekt,1,platt,0.012812,0.941215,0.086911,301372
ednet,simplekt,1,isotonic,0.009619,0.941178,0.086751,301372
ednet,simplekt,1,temperature,0.011507,0.941215,0.086814,301372
ednet,simplekt,2,none,0.020685,0.940673,0.088107,301372
ednet,simplekt,2,platt,0.010717,0.940673,0.087181,301372
ednet,simplekt,2,isotonic,0.003844,0.940619,0.086815,301372
ednet,simplekt,2,temperature,0.013353,0.940673,0.087234,301372
ednet,simplekt,3,none,0.019687,0.940562,0.087984,301372
ednet,simplekt,3,platt,0.017149,0.940562,0.087499,301372
ednet,simplekt,3,isotonic,0.008249,0.940526,0.086934,301372
ednet,simplekt,3,temperature,0.016428,0.940562,0.08746,301372
ednet,simplekt,4,none,0.021462,0.940598,0.088375,301372
ednet,simplekt,4,platt,0.003596,0.940598,0.086984,301372
ednet,simplekt,4,isotonic,0.002691,0.940567,0.08694,301372
ednet,simplekt,4,temperature,0.021962,0.940598,0.088317,301372
