dataset,model,fold,method,ece,auc,brier,n_test
assist2009,akt,3,temperature,0.005098,0.829384,0.155394,61904
assist2009,akt,4,none,0.019155,0.829867,0.155541,61904
assist2009,akt,4,platt,0.005951,0.829867,0.155161,61904
assist2009,akt,4,isotonic,0.006171,0.82943,0.155321,61904
assist2009,akt,4,temperature,0.011931,0.829867,0.155362,61904
assist2009,dkt,0,none,0.007414,0.823793,0.157217,61904
assist2009,dkt,0,platt,0.01,0.823793,0.15727,61904
assist2009,dkt,0,isotonic,0.009418,0.823489,0.157426,61904
assist2009,dkt,0,temperature,0.00812,0.823793,0.157229,61904
assist2009,dkt,1,none,0.008645,0.822536,0.157667,61904
assist2009,dkt,1,platt,0.012108,0.822536,0.157775,61904
assist2009,dkt,1,isotonic,0.012393,0.822372,0.157933,61904
assist2009,dkt,1,temperature,0.006423,0.822536,0.157628,61904
assist2009,dkt,2,none,0.010021,0.824616,0.15681,61904
assist2009,dkt,2,platt,0.010718,0.824616,0.156826,61904
assist2009,dkt,2,isotonic,0.011096,0.824399,0.156881,61904
assist2009,dkt,2,temperature,0.011998,0.824616,0.156856,61904
assist2009,dkt,3,none,0.007072,0.824694,0.156807,61904
assist2009,dkt,3,platt,0.010743,0.824694,0.156871,61904
assist2009,dkt,3,isotonic,0.011736,0.824653,0.156925,61904
assist2009,dkt,3,temperature,0.006809,0.824694,0.156798,61904
assist2009,dkt,4,none,0.012649,0.824952,0.156787,61904
assist2009,dkt,4,platt,0.008539,0.824952,0.156651,61904
assist2009,dkt,4,isotonic,0.006739,0.824761,0.156704,61904
assist2009,dkt,4,temperature,0.00834,0.824952,0.156655,61904
assist2009,sakt,0,none,0.040159,0.75411,0.186636,61904
assist2009,sakt,0,platt,0.012814,0.75411,0.184825,61904
assist2009,sakt,0,isotonic,0.010047,0.754018,0.184816,61904
assist2009,sakt,0,temperature,0.011278,0.75411,0.184912,61904
assist2009,sakt,1,none,0.0425,0.754642,0.186986,61904
assist2009,sakt,1,platt,0.011425,0.754642,0.184953,61904
assist2009,sakt,1,isotonic,0.009273,0.75439,0.18498,61904
assist2009,sakt,1,temperature,0.012641,0.754642,0.184987,61904
assist2009,sakt,2,none,0.038252,0.755196,0.18617,61904
assist2009,sakt,2,platt,0.012088,0.755196,0.184609,61904
assist2009,sakt,2,isotonic,0.012917,0.754977,0.184742,61904
assist2009,sakt,2,temperature,0.01253,0.755196,0.184622,61904
assist2009,sakt,3,none,0.045168,0.753749,0.187343,61904
assist2009,sakt,3,platt,0.011542,0.753749,0.185149,61904
assist2009,sakt,3,isotonic,0.009498,0.753713,0.1852,61904
assist2009,sakt,3,temperature,0.016753,0.753749,0.185338,61904
assist2009,sakt,4,none,0.033468,0.752862,0.186636,61904
assist2009,sakt,4,platt,0.009484,0.752862,0.185456,61904
assist2009,sakt,4,isotonic,0.009194,0.752439,0.185803,61904
assist2009,sakt,4,temperature,0.006764,0.752862,0.185404,61904
assist2009,simplekt,0,none,0.055355,0.827817,0.16141,61904
assist2009,simplekt,0,platt,0.00921,0.827817,0.157573,61904
assist2009,simplekt,0,isotonic,0.008911,0.827641,0.157667,61904
assist2009,simplekt,0,temperature,0.00942,0.827817,0.157606,61904
assist2009,simplekt,1,none,0.098068,0.826872,0.171143,61904
assist2009,simplekt,1,platt,0.012709,0.826872,0.157922,61904
assist2009,simplekt,1,isotonic,0.014142,0.826645,0.158051,61904
assist2009,simplekt,1,temperature,0.037709,0.826872,0.159764,61904
assist2009,simplekt,2,none,0.01186,0.829041,0.156935,61904
assist2009,simplekt,2,platt,0.012785,0.829041,0.157018,61904
assist2009,simplekt,2,isotonic,0.013109,0.828742,0.157103,61904
assist2009,simplekt,2,temperature,0.011758,0.829041,0.156931,61904
assist2009,simplekt,3,none,0.033211,0.832064,0.156539,61904
assist2009,simplekt,3,platt,0.01165,0.832064,0.1554,61904
assist2009,simplekt,3,isotonic,0.01293,0.83191,0.155487,61904
assist2009,simplekt,3,temperature,0.013157,0.832064,0.155451,61904
assist2009,simplekt,4,none,0.086539,0.83191,0.165005,61904
assist2009,simplekt,4,platt,0.008719,0.83191,0.155308,61904
assist2009,simplekt,4,isotonic,0.007398,0.831715,0.155346,61904
assist2009,simplekt,4,temperature,0.012471,0.83191,0.155444,61904
assist2012,akt,0,none,0.014982,0.772909,0.168261,536087
assist2012,akt,0,platt,0.001526,0.772909,0.168007,536087
assist2012,akt,0,isotonic,0.001851,0.772845,0.168025,536087
assist2012,akt,0,temperature,0.004809,0.772909,0.168034,536087
assist2012,akt,1,none,0.014894,0.772772,0.168316,536087
assist2012,akt,1,platt,0.001997,0.772772,0.168056,536087
assist2012,akt,1,isotonic,0.002768,0.772734,0.168087,536087
assist2012,akt,1,temperature,0.00418,0.772772,0.168079,536087
assist2012,akt,2,none,0.014595,0.771734,0.168718,536087
assist2012,akt,2,platt,0.002429,0.771734,0.168477,536087
assist2012,akt,2,isotonic,0.002125,0.771671,0.168511,536087
assist2012,akt,2,temperature,0.002611,0.771734,0.168489,536087
assist2012,akt,3,none,0.013994,0.771509,0.168699,536087
assist2012,akt,3,platt,0.002019,0.771509,0.168476,536087
assist2012,akt,3,isotonic,0.002197,0.771424,0.168504,536087
assist2012,akt,3,temperature,0.002191,0.771509,0.168477,536087
assist2012,akt,4,none,0.012409,0.772492,0.168315,536087
assist2012,akt,4,platt,0.000599,0.772492,0.168133,536087
assist2012,akt,4,isotonic,0.001867,0.772445,0.168149,536087
assist2012,akt,4,temperature,0.004284,0.772492,0.168161,536087
assist2012,dkt,0,none,0.007334,0.729251,0.180473,536087
assist2012,dkt,0,platt,0.001475,0.729251,0.180418,536087
assist2012,dkt,0,isotonic,0.001817,0.729202,0.180439,536087
assist2012,dkt,0,temperature,0.003901,0.729251,0.18045,536087
assist2012,dkt,1,none,0.004063,0.729305,0.180412,536087
assist2012,dkt,1,platt,0.002371,0.729305,0.180399,536087
assist2012,dkt,1,isotonic,0.002339,0.729241,0.180421,536087
assist2012,dkt,1,temperature,0.003366,0.729305,0.18041,536087
assist2012,dkt,2,none,0.003411,0.728927,0.180486,536087
assist2012,dkt,2,platt,0.002604,0.728927,0.18048,536087
assist2012,dkt,2,isotonic,0.002054,0.728874,0.180495,536087
assist2012,dkt,2,temperature,0.00281,0.728927,0.180483,536087
assist2012,dkt,3,none,0.002799,0.730108,0.180193,536087
assist2012,dkt,3,platt,0.002824,0.730108,0.180191,536087
assist2012,dkt,3,isotonic,0.001921,0.730047,0.180218,536087
assist2012,dkt,3,temperature,0.002472,0.730108,0.180192,536087
assist2012,dkt,4,none,0.010045,0.730273,0.180266,536087
assist2012,dkt,4,platt,0.00122,0.730273,0.180158,536087
assist2012,dkt,4,isotonic,0.002034,0.730243,0.180169,536087
assist2012,dkt,4,temperature,0.003556,0.730273,0.180177,536087
assist2012,sakt,0,none,0.007014,0.707337,0.18621,536087
assist2012,sakt,0,platt,0.003321,0.707337,0.186078,536087
assist2012,sakt,0,isotonic,0.001468,0.707286,0.186087,536087
assist2012,sakt,0,temperature,0.007857,0.707337,0.186206,536087
assist2012,sakt,1,none,0.012013,0.706858,0.186329,536087
assist2012,sakt,1,platt,0.004432,0.706858,0.186141,536087
assist2012,sakt,1,isotonic,0.003151,0.706737,0.186158,536087
assist2012,sakt,1,temperature,0.005228,0.706858,0.186228,536087
assist2012,sakt,2,none,0.009302,0.706678,0.186358,536087
assist2012,sakt,2,platt,0.005457,0.706678,0.186234,536087
assist2012,sakt,2,isotonic,0.003692,0.706594,0.186234,536087
assist2012,sakt,2,temperature,0.006614,0.706678,0.186323,536087
assist2012,sakt,3,none,0.007887,0.706494,0.186429,536087
assist2012,sakt,3,platt,0.005715,0.706494,0.186311,536087
assist2012,sakt,3,isotonic,0.003639,0.706445,0.186313,536087
assist2012,sakt,3,temperature,0.007238,0.706494,0.186416,536087
assist2012,sakt,4,none,0.025629,0.70786,0.186744,536087
assist2012,sakt,4,platt,0.004084,0.70786,0.186038,536087
assist2012,sakt,4,isotonic,0.00147,0.707792,0.186026,536087
assist2012,sakt,4,temperature,0.005563,0.70786,0.186049,536087
assist2012,simplekt,0,none,0.017429,0.769188,0.169463,536087
assist2012,simplekt,0,platt,0.002963,0.769188,0.169019,536087
assist2012,simplekt,0,isotonic,0.001754,0.769125,0.169034,536087
assist2012,simplekt,0,temperature,0.017177,0.769188,0.169458,536087
assist2012,simplekt,1,none,0.019065,0.770273,0.169345,536087
assist2012,simplekt,1,platt,0.001578,0.770273,0.168777,536087
assist2012,simplekt,1,isotonic,0.001518,0.770208,0.168792,536087
assist2012,simplekt,1,temperature,0.018955,0.770273,0.169345,536087
assist2012,simplekt,2,none,0.00825,0.771,0.168528,536087
assist2012,simplekt,2,platt,0.005338,0.771,0.168479,536087
assist2012,simplekt,2,isotonic,0.001991,0.770953,0.168467,536087
assist2012,simplekt,2,temperature,0.005919,0.771,0.168506,536087
assist2012,simplekt,3,none,0.015162,0.770207,0.169089,536087
assist2012,simplekt,3,platt,0.003154,0.770207,0.168754,536087
assist2012,simplekt,3,isotonic,0.002611,0.770158,0.168791,536087
assist2012,simplekt,3,temperature,0.014955,0.770207,0.16909,536087
assist2012,simplekt,4,none,0.015864,0.770697,0.168812,536087
assist2012,simplekt,4,platt,0.005426,0.770697,0.168558,536087
assist2012,simplekt,4,isotonic,0.001385,0.77063,0.168557,536087
assist2012,simplekt,4,temperature,0.011036,0.770697,0.168706,536087
assist2015,akt,0,none,0.010453,0.723401,0.17111,134592
assist2015,akt,0,platt,0.003831,0.723401,0.170992,134592
assist2015,akt,0,isotonic,0.003576,0.723295,0.170992,134592
assist2015,akt,0,temperature,0.003986,0.723401,0.171006,134592
assist2015,akt,1,none,0.009313,0.722624,0.171256,134592
assist2015,akt,1,platt,0.00377,0.722624,0.171162,134592
assist2015,akt,1,isotonic,0.004962,0.722508,0.171205,134592
assist2015,akt,1,temperature,0.003893,0.722624,0.17117,134592
assist2015,akt,2,none,0.008016,0.723284,0.171094,134592
assist2015,akt,2,platt,0.003056,0.723284,0.171008,134592
assist2015,akt,2,isotonic,0.004087,0.723101,0.171104,134592
assist2015,akt,2,temperature,0.00421,0.723284,0.171024,134592
assist2015,akt,3,none,0.009176,0.722332,0.171325,134592
assist2015,akt,3,platt,0.002601,0.722332,0.171222,134592
assist2015,akt,3,isotonic,0.003406,0.722189,0.17129,134592
assist2015,akt,3,temperature,0.004075,0.722332,0.171237,134592
assist2015,akt,4,none,0.009276,0.723179,0.171141,134592
assist2015,akt,4,platt,0.00463,0.723179,0.171113,134592
assist2015,akt,4,isotonic,0.004779,0.723055,0.171114,134592
assist2015,akt,4,temperature,0.004278,0.723179,0.171072,134592
assist2015,dkt,0,none,0.01017,0.726964,0.170568,134592
assist2015,dkt,0,platt,0.004076,0.726964,0.170453,134592
assist2015,dkt,0,isotonic,0.003941,0.726721,0.170485,134592
assist2015,dkt,0,temperature,0.010072,0.726964,0.170566,134592
assist2015,dkt,1,none,0.008468,0.726292,0.170638,134592
assist2015,dkt,1,platt,0.004183,0.726292,0.170576,134592
assist2015,dkt,1,isotonic,0.003811,0.72612,0.170635,134592
assist2015,dkt,1,temperature,0.005603,0.726292,0.170596,134592
