dataset,model,method,ece_v2_leakfit,ece_v4_leakfree,delta_v4_minus_v2,ratio_v2_over_v4
ednet,akt,temperature,0.1655,0.067272,-0.098228,2.46
ednet,dkt,isotonic,0.1268,0.014428,-0.112372,8.79
ednet,dkt,none,0.0893,0.089399,9.9e-05,1.0
ednet,dkt,platt,0.1691,0.017243,-0.151857,9.81
ednet,dkt,temperature,0.1579,0.063098,-0.094802,2.5
ednet,sakt,isotonic,0.139,0.013206,-0.125794,10.53
ednet,sakt,none,0.1204,0.120402,2e-06,1.0
ednet,sakt,platt,0.1666,0.013885,-0.152715,12.0
ednet,sakt,temperature,0.1606,0.069524,-0.091076,2.31
ednet,simplekt,isotonic,0.1612,0.012117,-0.149083,13.3
ednet,simplekt,none,0.1427,0.142708,8e-06,1.0
ednet,simplekt,platt,0.1753,0.021922,-0.153378,8.0
ednet,simplekt,temperature,0.171,0.062495,-0.108505,2.74
