dataset,granularity,family,model,fold,method,ece_equal_width,ece_equal_mass,best_equal_width,best_equal_mass
algebra2005,concept,deep,simplekt,1,platt,0.007911709078147665,0.007844769003924447,temperature,temperature
algebra2005,concept,deep,simplekt,1,isotonic,0.0077866608415152186,0.0078047650441756215,temperature,temperature
algebra2005,concept,deep,simplekt,1,temperature,0.00396058816085492,0.0036998750002101566,temperature,temperature
algebra2005,concept,deep,simplekt,2,none,0.029991370775586768,0.0287731414557856,isotonic,isotonic
algebra2005,concept,deep,simplekt,2,platt,0.008789068201323063,0.0073847300535993515,isotonic,isotonic
algebra2005,concept,deep,simplekt,2,isotonic,0.004149508176719987,0.0036735151334885002,isotonic,isotonic
algebra2005,concept,deep,simplekt,2,temperature,0.0073318608970205125,0.006693568943472651,isotonic,isotonic
algebra2005,concept,deep,simplekt,3,none,0.0292607678053685,0.028134202337456782,isotonic,isotonic
algebra2005,concept,deep,simplekt,3,platt,0.005300579882481237,0.005620870699582148,isotonic,isotonic
algebra2005,concept,deep,simplekt,3,isotonic,0.003212284394119809,0.0017555933134464493,isotonic,isotonic
algebra2005,concept,deep,simplekt,3,temperature,0.005242578929070043,0.00527588021068986,isotonic,isotonic
algebra2005,concept,deep,simplekt,4,none,0.01777508933794809,0.017980052216844712,isotonic,isotonic
algebra2005,concept,deep,simplekt,4,platt,0.005658848616611316,0.005219213851208452,isotonic,isotonic
algebra2005,concept,deep,simplekt,4,isotonic,0.004129153977666996,0.004049225885677818,isotonic,isotonic
algebra2005,concept,deep,simplekt,4,temperature,0.01683211136208298,0.01692040421081484,isotonic,isotonic
algebra2005,question,deep,dkt,0,none,0.018426915918016085,0.019174693636021308,platt,platt
algebra2005,question,deep,dkt,0,platt,0.008312324445455863,0.008312324445455942,platt,platt
algebra2005,question,deep,dkt,0,isotonic,0.008396330527263539,0.008559675179929671,platt,platt
algebra2005,question,deep,dkt,0,temperature,0.02273924571089163,0.02273924571089193,platt,platt
algebra2005,question,deep,dkt,1,none,0.009144125020173149,0.009165245037387696,temperature,temperature
algebra2005,question,deep,dkt,1,platt,0.008111475930678711,0.00817001324813441,temperature,temperature
algebra2005,question,deep,dkt,1,isotonic,0.008684374649873636,0.008105532433275806,temperature,temperature
