dataset,model,fold,method,ece_none,ece_mismatched_fit,ece_coherent_fit,delta_ece,ratio,ci_low,ci_high,p,n_valid_coherent,n_valid_mismatched,n_test,n_students,family_key,p_holm,reject_holm,family_size
algebra2005,dkt,0,platt,0.018426915918016085,0.0434955082620405,0.008312324445455863,0.03518318381658464,5.232652857507071,0.026830328584489468,0.041008648870766516,0.00019998000199980003,112859,113319,92945,114,platt|f0,0.004599540045995401,True,23
algebra2005,dkt,0,isotonic,0.018426915918016085,0.04196261086060173,0.008396330527263539,0.033566280333338194,4.997732131238267,0.019481939289755588,0.04480396434332462,0.00019998000199980003,112859,113319,92945,114,isotonic|f0,0.004599540045995401,True,23
algebra2005,dkt,0,temperature,0.018426915918016085,0.03367934761688488,0.02273924571089163,0.010940101905993253,1.4811110291469858,0.0011218573581201876,0.021901655833657333,0.026597340265973404,112859,113319,92945,114,temperature|f0,0.265973402659734,False,23
algebra2005,dkt,1,platt,0.009144125020173149,0.04922903330875362,0.008111475930678711,0.041117557378074904,6.069059900993194,0.03235287083794684,0.04625917104936676,0.00019998000199980003,111871,112298,92945,114,platt|f1,0.004599540045995401,True,23
algebra2005,dkt,1,isotonic,0.009144125020173149,0.0444579450485072,0.008684374649873636,0.03577357039863356,5.119302982760433,0.02471150568270686,0.04372833469307714,0.00019998000199980003,111871,112298,92945,114,isotonic|f1,0.004599540045995401,True,23
algebra2005,dkt,1,temperature,0.009144125020173149,0.03351012432672724,0.006895630243694675,0.026614494083032562,4.859617343515294,0.014114639938268007,0.033729356552377875,0.00019998000199980003,111871,112298,92945,114,temperature|f1,0.004599540045995401,True,23
algebra2005,dkt,2,platt,0.009055900801549027,0.04422094345242929,0.004320255758246756,0.039900687694182535,10.23572351428912,0.03147283090068077,0.042812113132752655,0.00019998000199980003,100740,101122,92945,114,platt|f2,0.004599540045995401,True,23
algebra2005,dkt,2,isotonic,0.009055900801549027,0.04180358047940406,0.005416607061297115,0.03638697341810694,7.717669014261735,0.025699328118541313,0.04115479527351072,0.00019998000199980003,100740,101122,92945,114,isotonic|f2,0.004599540045995401,True,23
algebra2005,dkt,2,temperature,0.009055900801549027,0.03052181967560317,0.010364830873464292,0.020156988802138877,2.9447484525525787,0.0071857354317852555,0.030835266645865,0.00039996000399960006,100740,101122,92945,114,temperature|f2,0.005199480051994801,True,23
algebra2005,dkt,3,platt,0.009450445962666166,0.04567422682333041,0.005058809324899445,0.040615417498430964,9.028651583787116,0.031934512968210683,0.04520294703950658,0.00019998000199980003,94885,95275,92945,114,platt|f3,0.004599540045995401,True,23
algebra2005,dkt,3,isotonic,0.009450445962666166,0.04640031313335286,0.004145374683256566,0.0422549384500963,11.193273631154911,0.03385975454950987,0.04424981346842273,0.00019998000199980003,94885,95275,92945,114,isotonic|f3,0.004599540045995401,True,23
algebra2005,dkt,3,temperature,0.009450445962666166,0.03506193665498508,0.009977411878956946,0.025084524776028135,3.5141314281044305,0.01399059857507215,0.03358908681967018,0.00019998000199980003,94885,95275,92945,114,temperature|f3,0.004599540045995401,True,23
algebra2005,dkt,4,platt,0.011837706170316056,0.04384827766179773,0.004280790819193314,0.039567486842604416,10.243032073700027,0.030989946164183903,0.042890685352106585,0.00019998000199980003,89450,89796,92945,114,platt|f4,0.004599540045995401,True,23
algebra2005,dkt,4,isotonic,0.011837706170316056,0.046033606556848974,0.003709444454636354,0.04232416210221262,12.40983848654549,0.0333745289958255,0.044046152467025146,0.00019998000199980003,89450,89796,92945,114,isotonic|f4,0.004599540045995401,True,23
algebra2005,dkt,4,temperature,0.011837706170316056,0.03288675201432721,0.009965629811024418,0.022921122203302793,3.300017423680181,0.012036270948655612,0.030102407190295218,0.00019998000199980003,89450,89796,92945,114,temperature|f4,0.004599540045995401,True,23
algebra2005,sakt,0,platt,0.05898694281564368,0.05528278426257772,0.01407683863171134,0.04120594563086638,3.9272158834044197,0.03185353394032952,0.048490816142283365,0.00019998000199980003,112859,113319,92945,114,platt|f0,0.004599540045995401,True,23
algebra2005,sakt,0,isotonic,0.05898694281564368,0.057693944384943414,0.009451996387790278,0.04824194799715314,6.103889804641717,0.032367564559928036,0.06044354141387498,0.00019998000199980003,112859,113319,92945,114,isotonic|f0,0.004599540045995401,True,23
algebra2005,sakt,0,temperature,0.05898694281564368,0.04747079896683084,0.0179734262747916,0.02949737269203924,2.641165810072084,0.015889899183889885,0.04017223144681468,0.00019998000199980003,112859,113319,92945,114,temperature|f0,0.004599540045995401,True,23
algebra2005,sakt,1,platt,0.057574791543385795,0.056956422072662556,0.012470708716653602,0.044485713356008955,4.567216135567497,0.03477773820207222,0.051167843952479336,0.00019998000199980003,111871,112298,92945,114,platt|f1,0.004599540045995401,True,23
algebra2005,sakt,1,isotonic,0.057574791543385795,0.06333001011966521,0.010279013023199246,0.05305099709646597,6.1610983444356355,0.03677325510595885,0.06534098233410708,0.00019998000199980003,111871,112298,92945,114,isotonic|f1,0.004599540045995401,True,23
algebra2005,sakt,1,temperature,0.057574791543385795,0.04669612435567534,0.02318110634889518,0.023515018006780162,2.014404474612183,0.010368338820121887,0.03709115482244475,0.00019998000199980003,111871,112298,92945,114,temperature|f1,0.004599540045995401,True,23
algebra2005,sakt,2,platt,0.05358530528807384,0.055552823794978945,0.011679627669532825,0.04387319612544612,4.756386536181509,0.03534983390057077,0.04927140915918738,0.00019998000199980003,100740,101122,92945,114,platt|f2,0.004599540045995401,True,23
algebra2005,sakt,2,isotonic,0.05358530528807384,0.06301270972607463,0.006375238680334716,0.056637471045739914,9.883976567096356,0.0419919148955518,0.0637642553139083,0.00019998000199980003,100740,101122,92945,114,isotonic|f2,0.004599540045995401,True,23
algebra2005,sakt,2,temperature,0.05358530528807384,0.04863108517038201,0.023086909372561786,0.025544175797820225,2.1064354862578027,0.01210048148337076,0.038258720078665216,0.00019998000199980003,100740,101122,92945,114,temperature|f2,0.004599540045995401,True,23
algebra2005,sakt,3,platt,0.0507204863091078,0.060242061124736235,0.013258050853704567,0.04698401027103167,4.543809779391771,0.04070155269570484,0.051931983629980784,0.00019998000199980003,94885,95275,92945,114,platt|f3,0.004599540045995401,True,23
algebra2005,sakt,3,isotonic,0.0507204863091078,0.06812111436426418,0.006511678369181776,0.06160943599508241,10.461375777812554,0.05091380712325663,0.06616599086210151,0.00019998000199980003,94885,95275,92945,114,isotonic|f3,0.004599540045995401,True,23
algebra2005,sakt,3,temperature,0.0507204863091078,0.05538005924697803,0.03525089203851001,0.020129167208468024,1.5710257540852532,0.008695784242760917,0.031962433282090176,0.00039996000399960006,94885,95275,92945,114,temperature|f3,0.005199480051994801,True,23
algebra2005,sakt,4,platt,0.05168080047339848,0.056097972638656644,0.010565116140825033,0.04553285649783161,5.309735538248038,0.039114431826479036,0.04974693082275238,0.00019998000199980003,89450,89796,92945,114,platt|f4,0.004599540045995401,True,23
algebra2005,sakt,4,isotonic,0.05168080047339848,0.06688004081175769,0.004657631681734592,0.062222409130023096,14.359237780444303,0.05146130824976504,0.06555712877209373,0.00019998000199980003,89450,89796,92945,114,isotonic|f4,0.004599540045995401,True,23
algebra2005,sakt,4,temperature,0.05168080047339848,0.051086722133288756,0.026376528546296008,0.024710193586992748,1.9368250846058641,0.01219395725618969,0.03578322915615365,0.00019998000199980003,89450,89796,92945,114,temperature|f4,0.004599540045995401,True,23
algebra2005,akt,0,platt,0.02222141696702365,0.05476133803010814,0.018262230134676233,0.036499107895431905,2.998611759148056,0.028827657250107035,0.042070203050023264,0.00019998000199980003,112859,113319,92945,114,platt|f0,0.004599540045995401,True,23
