dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
assist2017,sakt,2,isotonic,0.003834,0.653873,0.215738,177767,145879,leakfree_pykt_v4
assist2017,sakt,2,temperature,0.008311,0.653932,0.215772,177767,145879,leakfree_pykt_v4
assist2017,sakt,3,none,0.008528,0.652367,0.216161,177767,168980,leakfree_pykt_v4
assist2017,sakt,3,platt,0.006253,0.652367,0.216071,177767,168980,leakfree_pykt_v4
assist2017,sakt,3,isotonic,0.004098,0.652293,0.216084,177767,168980,leakfree_pykt_v4
assist2017,sakt,3,temperature,0.007393,0.652367,0.216076,177767,168980,leakfree_pykt_v4
assist2017,sakt,4,none,0.010413,0.651552,0.216333,177767,149617,leakfree_pykt_v4
assist2017,sakt,4,platt,0.004327,0.651552,0.216238,177767,149617,leakfree_pykt_v4
assist2017,sakt,4,isotonic,0.005569,0.651213,0.216325,177767,149617,leakfree_pykt_v4
assist2017,sakt,4,temperature,0.004438,0.651552,0.216235,177767,149617,leakfree_pykt_v4
assist2017,simplekt,0,none,0.028131,0.754975,0.189852,177767,153067,leakfree_pykt_v4
assist2017,simplekt,0,platt,0.003975,0.754975,0.188689,177767,153067,leakfree_pykt_v4
assist2017,simplekt,0,isotonic,0.003402,0.754902,0.188768,177767,153067,leakfree_pykt_v4
assist2017,simplekt,0,temperature,0.024124,0.754975,0.189429,177767,153067,leakfree_pykt_v4
assist2017,simplekt,1,none,0.020954,0.756516,0.188735,177767,141938,leakfree_pykt_v4
assist2017,simplekt,1,platt,0.007951,0.756516,0.188252,177767,141938,leakfree_pykt_v4
assist2017,simplekt,1,isotonic,0.003908,0.756457,0.188218,177767,141938,leakfree_pykt_v4
assist2017,simplekt,1,temperature,0.009208,0.756516,0.188291,177767,141938,leakfree_pykt_v4
assist2017,simplekt,2,none,0.019639,0.754668,0.189274,177767,145879,leakfree_pykt_v4
assist2017,simplekt,2,platt,0.008123,0.754668,0.188928,177767,145879,leakfree_pykt_v4
assist2017,simplekt,2,isotonic,0.006684,0.75451,0.188969,177767,145879,leakfree_pykt_v4
assist2017,simplekt,2,temperature,0.007059,0.754668,0.189003,177767,145879,leakfree_pykt_v4
assist2017,simplekt,3,none,0.016698,0.751014,0.190489,177767,168980,leakfree_pykt_v4
assist2017,simplekt,3,platt,0.006212,0.751014,0.190166,177767,168980,leakfree_pykt_v4
assist2017,simplekt,3,isotonic,0.003809,0.750935,0.190177,177767,168980,leakfree_pykt_v4
assist2017,simplekt,3,temperature,0.016472,0.751014,0.190468,177767,168980,leakfree_pykt_v4
assist2017,simplekt,4,none,0.030207,0.757588,0.188884,177767,149617,leakfree_pykt_v4
assist2017,simplekt,4,platt,0.010579,0.757588,0.187958,177767,149617,leakfree_pykt_v4
assist2017,simplekt,4,isotonic,0.002449,0.757468,0.187847,177767,149617,leakfree_pykt_v4
assist2017,simplekt,4,temperature,0.030271,0.757588,0.188948,177767,149617,leakfree_pykt_v4
bridge2algebra2006,akt,0,none,0.00618,0.806558,0.107511,352370,276786,leakfree_pykt_v4
bridge2algebra2006,akt,0,platt,0.002258,0.806558,0.107488,352370,276786,leakfree_pykt_v4
bridge2algebra2006,akt,0,isotonic,0.002171,0.806483,0.1075,352370,276786,leakfree_pykt_v4
bridge2algebra2006,akt,0,temperature,0.003255,0.806558,0.1075,352370,276786,leakfree_pykt_v4
bridge2algebra2006,akt,1,none,0.006584,0.806718,0.107502,352370,286535,leakfree_pykt_v4
bridge2algebra2006,akt,1,platt,0.002494,0.806718,0.107477,352370,286535,leakfree_pykt_v4
bridge2algebra2006,akt,1,isotonic,0.002281,0.806648,0.107509,352370,286535,leakfree_pykt_v4
bridge2algebra2006,akt,1,temperature,0.002652,0.806718,0.10748,352370,286535,leakfree_pykt_v4
bridge2algebra2006,akt,2,none,0.007338,0.807446,0.107317,352370,301562,leakfree_pykt_v4
bridge2algebra2006,akt,2,platt,0.003214,0.807446,0.107282,352370,301562,leakfree_pykt_v4
bridge2algebra2006,akt,2,isotonic,0.002659,0.80732,0.107294,352370,301562,leakfree_pykt_v4
bridge2algebra2006,akt,2,temperature,0.004268,0.807446,0.107303,352370,301562,leakfree_pykt_v4
bridge2algebra2006,akt,3,none,0.006347,0.805745,0.107702,352370,307842,leakfree_pykt_v4
bridge2algebra2006,akt,3,platt,0.004377,0.805745,0.107649,352370,307842,leakfree_pykt_v4
bridge2algebra2006,akt,3,isotonic,0.004053,0.805636,0.107671,352370,307842,leakfree_pykt_v4
bridge2algebra2006,akt,3,temperature,0.006654,0.805745,0.107724,352370,307842,leakfree_pykt_v4
bridge2algebra2006,akt,4,none,0.009065,0.805861,0.107894,352370,282684,leakfree_pykt_v4
bridge2algebra2006,akt,4,platt,0.002616,0.805861,0.107704,352370,282684,leakfree_pykt_v4
bridge2algebra2006,akt,4,isotonic,0.002307,0.805743,0.107723,352370,282684,leakfree_pykt_v4
bridge2algebra2006,akt,4,temperature,0.008341,0.805861,0.107907,352370,282684,leakfree_pykt_v4
bridge2algebra2006,dkt,0,none,0.006849,0.796296,0.108605,352370,276786,leakfree_pykt_v4
bridge2algebra2006,dkt,0,platt,0.002894,0.796296,0.108553,352370,276786,leakfree_pykt_v4
bridge2algebra2006,dkt,0,isotonic,0.003141,0.796181,0.108579,352370,276786,leakfree_pykt_v4
bridge2algebra2006,dkt,0,temperature,0.004144,0.796296,0.108581,352370,276786,leakfree_pykt_v4
bridge2algebra2006,dkt,1,none,0.006722,0.795673,0.108764,352370,286535,leakfree_pykt_v4
bridge2algebra2006,dkt,1,platt,0.001922,0.795673,0.10869,352370,286535,leakfree_pykt_v4
bridge2algebra2006,dkt,1,isotonic,0.003053,0.795581,0.108707,352370,286535,leakfree_pykt_v4
bridge2algebra2006,dkt,1,temperature,0.004753,0.795673,0.108747,352370,286535,leakfree_pykt_v4
bridge2algebra2006,dkt,2,none,0.004583,0.795251,0.108897,352370,301562,leakfree_pykt_v4
bridge2algebra2006,dkt,2,platt,0.003468,0.795251,0.108856,352370,301562,leakfree_pykt_v4
bridge2algebra2006,dkt,2,isotonic,0.003429,0.795151,0.108913,352370,301562,leakfree_pykt_v4
bridge2algebra2006,dkt,2,temperature,0.005555,0.795251,0.108905,352370,301562,leakfree_pykt_v4
bridge2algebra2006,dkt,3,none,0.006233,0.794322,0.109221,352370,307842,leakfree_pykt_v4
bridge2algebra2006,dkt,3,platt,0.004934,0.794322,0.109132,352370,307842,leakfree_pykt_v4
bridge2algebra2006,dkt,3,isotonic,0.004827,0.794274,0.109136,352370,307842,leakfree_pykt_v4
bridge2algebra2006,dkt,3,temperature,0.008454,0.794322,0.109245,352370,307842,leakfree_pykt_v4
bridge2algebra2006,dkt,4,none,0.005062,0.795801,0.108786,352370,282684,leakfree_pykt_v4
bridge2algebra2006,dkt,4,platt,0.002444,0.795801,0.108699,352370,282684,leakfree_pykt_v4
bridge2algebra2006,dkt,4,isotonic,0.002313,0.795701,0.108728,352370,282684,leakfree_pykt_v4
bridge2algebra2006,dkt,4,temperature,0.006158,0.795801,0.108794,352370,282684,leakfree_pykt_v4
bridge2algebra2006,sakt,0,none,0.014443,0.761631,0.11551,352370,276786,leakfree_pykt_v4
bridge2algebra2006,sakt,0,platt,0.002502,0.761631,0.115139,352370,276786,leakfree_pykt_v4
bridge2algebra2006,sakt,0,isotonic,0.001969,0.761479,0.115157,352370,276786,leakfree_pykt_v4
bridge2algebra2006,sakt,0,temperature,0.010407,0.761631,0.115443,352370,276786,leakfree_pykt_v4
bridge2algebra2006,sakt,1,none,0.012313,0.761884,0.115236,352370,286535,leakfree_pykt_v4
bridge2algebra2006,sakt,1,platt,0.002562,0.761884,0.114994,352370,286535,leakfree_pykt_v4
bridge2algebra2006,sakt,1,isotonic,0.002237,0.761778,0.115016,352370,286535,leakfree_pykt_v4
bridge2algebra2006,sakt,1,temperature,0.00877,0.761884,0.115211,352370,286535,leakfree_pykt_v4
bridge2algebra2006,sakt,2,none,0.013859,0.760943,0.1155,352370,301562,leakfree_pykt_v4
bridge2algebra2006,sakt,2,platt,0.00267,0.760943,0.11511,352370,301562,leakfree_pykt_v4
bridge2algebra2006,sakt,2,isotonic,0.00349,0.760766,0.115153,352370,301562,leakfree_pykt_v4
bridge2algebra2006,sakt,2,temperature,0.012802,0.760943,0.115519,352370,301562,leakfree_pykt_v4
bridge2algebra2006,sakt,3,none,0.011775,0.760997,0.115451,352370,307842,leakfree_pykt_v4
bridge2algebra2006,sakt,3,platt,0.004206,0.760997,0.115247,352370,307842,leakfree_pykt_v4
bridge2algebra2006,sakt,3,isotonic,0.00436,0.760835,0.115282,352370,307842,leakfree_pykt_v4
bridge2algebra2006,sakt,3,temperature,0.008183,0.760997,0.115413,352370,307842,leakfree_pykt_v4
bridge2algebra2006,sakt,4,none,0.018237,0.760181,0.115578,352370,282684,leakfree_pykt_v4
bridge2algebra2006,sakt,4,platt,0.002986,0.760181,0.115105,352370,282684,leakfree_pykt_v4
bridge2algebra2006,sakt,4,isotonic,0.003071,0.76006,0.115109,352370,282684,leakfree_pykt_v4
bridge2algebra2006,sakt,4,temperature,0.012703,0.760181,0.115481,352370,282684,leakfree_pykt_v4
bridge2algebra2006,simplekt,0,none,0.006866,0.807972,0.107056,352370,276786,leakfree_pykt_v4
bridge2algebra2006,simplekt,0,platt,0.004252,0.807972,0.106993,352370,276786,leakfree_pykt_v4
bridge2algebra2006,simplekt,0,isotonic,0.001953,0.807884,0.106987,352370,276786,leakfree_pykt_v4
bridge2algebra2006,simplekt,0,temperature,0.006827,0.807972,0.107046,352370,276786,leakfree_pykt_v4
bridge2algebra2006,simplekt,1,none,0.012629,0.80588,0.106668,352370,286535,leakfree_pykt_v4
bridge2algebra2006,simplekt,1,platt,0.008438,0.80588,0.106624,352370,286535,leakfree_pykt_v4
bridge2algebra2006,simplekt,1,isotonic,0.002914,0.805753,0.106533,352370,286535,leakfree_pykt_v4
bridge2algebra2006,simplekt,1,temperature,0.008759,0.80588,0.106629,352370,286535,leakfree_pykt_v4
bridge2algebra2006,simplekt,2,none,0.019059,0.806689,0.107102,352370,301562,leakfree_pykt_v4
bridge2algebra2006,simplekt,2,platt,0.008386,0.806689,0.106632,352370,301562,leakfree_pykt_v4
bridge2algebra2006,simplekt,2,isotonic,0.002595,0.806564,0.106532,352370,301562,leakfree_pykt_v4
bridge2algebra2006,simplekt,2,temperature,0.0194,0.806689,0.107212,352370,301562,leakfree_pykt_v4
bridge2algebra2006,simplekt,3,none,0.029788,0.804603,0.108883,352370,307842,leakfree_pykt_v4
bridge2algebra2006,simplekt,3,platt,0.006501,0.804603,0.107626,352370,307842,leakfree_pykt_v4
bridge2algebra2006,simplekt,3,isotonic,0.004788,0.804493,0.107546,352370,307842,leakfree_pykt_v4
bridge2algebra2006,simplekt,3,temperature,0.01613,0.804603,0.108269,352370,307842,leakfree_pykt_v4
bridge2algebra2006,simplekt,4,none,0.027689,0.804643,0.108367,352370,282684,leakfree_pykt_v4
bridge2algebra2006,simplekt,4,platt,0.003355,0.804643,0.107428,352370,282684,leakfree_pykt_v4
bridge2algebra2006,simplekt,4,isotonic,0.003143,0.80447,0.107445,352370,282684,leakfree_pykt_v4
bridge2algebra2006,simplekt,4,temperature,0.011285,0.804643,0.107674,352370,282684,leakfree_pykt_v4
ednet,akt,0,none,0.094249,0.607061,0.234441,132209,77883,leakfree_pykt_v4
ednet,akt,0,platt,0.006936,0.607061,0.217815,132209,77883,leakfree_pykt_v4
ednet,akt,0,isotonic,0.007368,0.607678,0.217029,132209,77883,leakfree_pykt_v4
ednet,akt,0,temperature,0.065005,0.607061,0.223829,132209,77883,leakfree_pykt_v4
ednet,akt,1,none,0.091104,0.611994,0.232915,132209,110391,leakfree_pykt_v4
ednet,akt,1,platt,0.026994,0.611994,0.217708,132209,110391,leakfree_pykt_v4
ednet,akt,1,isotonic,0.025428,0.612695,0.216928,132209,110391,leakfree_pykt_v4
ednet,akt,1,temperature,0.073335,0.611994,0.223189,132209,110391,leakfree_pykt_v4
ednet,akt,2,none,0.09211,0.60705,0.234133,132209,85108,leakfree_pykt_v4
ednet,akt,2,platt,0.006863,0.60705,0.217753,132209,85108,leakfree_pykt_v4
ednet,akt,2,isotonic,0.009197,0.607784,0.217074,132209,85108,leakfree_pykt_v4
ednet,akt,2,temperature,0.061223,0.60705,0.223659,132209,85108,leakfree_pykt_v4
ednet,akt,3,none,0.093252,0.610831,0.233949,132209,90433,leakfree_pykt_v4
ednet,akt,3,platt,0.021272,0.610831,0.217772,132209,90433,leakfree_pykt_v4
ednet,akt,3,isotonic,0.019504,0.611778,0.21704,132209,90433,leakfree_pykt_v4
ednet,akt,3,temperature,0.068562,0.610831,0.223451,132209,90433,leakfree_pykt_v4
ednet,akt,4,none,0.094307,0.611598,0.234756,132209,92249,leakfree_pykt_v4
ednet,akt,4,platt,0.006874,0.611598,0.217216,132209,92249,leakfree_pykt_v4
ednet,akt,4,isotonic,0.00433,0.612693,0.216247,132209,92249,leakfree_pykt_v4
ednet,akt,4,temperature,0.068233,0.611598,0.223753,132209,92249,leakfree_pykt_v4
ednet,dkt,0,none,0.088663,0.606431,0.230781,132209,77883,leakfree_pykt_v4
ednet,dkt,0,platt,0.007944,0.606431,0.217394,132209,77883,leakfree_pykt_v4
ednet,dkt,0,isotonic,0.008534,0.607584,0.216724,132209,77883,leakfree_pykt_v4
ednet,dkt,0,temperature,0.063905,0.606431,0.223431,132209,77883,leakfree_pykt_v4
ednet,dkt,1,none,0.091575,0.606841,0.231402,132209,110391,leakfree_pykt_v4
ednet,dkt,1,platt,0.029181,0.606841,0.218276,132209,110391,leakfree_pykt_v4
ednet,dkt,1,isotonic,0.028359,0.608896,0.217283,132209,110391,leakfree_pykt_v4
ednet,dkt,1,temperature,0.070797,0.606841,0.223321,132209,110391,leakfree_pykt_v4
ednet,dkt,2,none,0.087449,0.606587,0.230173,132209,85108,leakfree_pykt_v4
ednet,dkt,2,platt,0.013514,0.606587,0.217413,132209,85108,leakfree_pykt_v4
ednet,dkt,2,isotonic,0.008694,0.607329,0.216834,132209,85108,leakfree_pykt_v4
ednet,dkt,2,temperature,0.057186,0.606587,0.22299,132209,85108,leakfree_pykt_v4
ednet,dkt,3,none,0.088833,0.606335,0.229884,132209,90433,leakfree_pykt_v4
ednet,dkt,3,platt,0.021729,0.606335,0.217844,132209,90433,leakfree_pykt_v4
ednet,dkt,3,isotonic,0.020584,0.606548,0.217282,132209,90433,leakfree_pykt_v4
ednet,dkt,3,temperature,0.061245,0.606335,0.222494,132209,90433,leakfree_pykt_v4
ednet,dkt,4,none,0.090477,0.604237,0.232255,132209,92249,leakfree_pykt_v4
ednet,dkt,4,platt,0.013848,0.604237,0.217915,132209,92249,leakfree_pykt_v4
ednet,dkt,4,isotonic,0.005969,0.606288,0.216902,132209,92249,leakfree_pykt_v4
ednet,dkt,4,temperature,0.062359,0.604237,0.223807,132209,92249,leakfree_pykt_v4
ednet,sakt,0,none,0.118499,0.604672,0.23863,132209,77883,leakfree_pykt_v4
ednet,sakt,0,platt,0.009806,0.604672,0.21775,132209,77883,leakfree_pykt_v4
ednet,sakt,0,isotonic,0.007619,0.604726,0.217108,132209,77883,leakfree_pykt_v4
ednet,sakt,0,temperature,0.060731,0.604672,0.222736,132209,77883,leakfree_pykt_v4
ednet,sakt,1,none,0.139664,0.602954,0.246219,132209,110391,leakfree_pykt_v4
ednet,sakt,1,platt,0.028635,0.602954,0.218493,132209,110391,leakfree_pykt_v4
ednet,sakt,1,isotonic,0.027297,0.603061,0.218068,132209,110391,leakfree_pykt_v4
ednet,sakt,1,temperature,0.089379,0.602954,0.22654,132209,110391,leakfree_pykt_v4
ednet,sakt,2,none,0.116807,0.606902,0.238306,132209,85108,leakfree_pykt_v4
ednet,sakt,2,platt,0.002737,0.606902,0.217263,132209,85108,leakfree_pykt_v4
ednet,sakt,2,isotonic,0.006226,0.60703,0.217013,132209,85108,leakfree_pykt_v4
ednet,sakt,2,temperature,0.05944,0.606902,0.222577,132209,85108,leakfree_pykt_v4
ednet,sakt,3,none,0.112437,0.606988,0.237574,132209,90433,leakfree_pykt_v4
ednet,sakt,3,platt,0.022025,0.606988,0.217744,132209,90433,leakfree_pykt_v4
ednet,sakt,3,isotonic,0.020086,0.607314,0.217249,132209,90433,leakfree_pykt_v4
ednet,sakt,3,temperature,0.066902,0.606988,0.222979,132209,90433,leakfree_pykt_v4
ednet,sakt,4,none,0.114604,0.605876,0.23951,132209,92249,leakfree_pykt_v4
ednet,sakt,4,platt,0.006222,0.605876,0.217394,132209,92249,leakfree_pykt_v4
ednet,sakt,4,isotonic,0.004804,0.606302,0.216576,132209,92249,leakfree_pykt_v4
ednet,sakt,4,temperature,0.07117,0.605876,0.224412,132209,92249,leakfree_pykt_v4
ednet,simplekt,0,none,0.147567,0.658462,0.237773,132209,77883,leakfree_pykt_v4
ednet,simplekt,0,platt,0.016728,0.658462,0.209037,132209,77883,leakfree_pykt_v4
ednet,simplekt,0,isotonic,0.007509,0.658574,0.208312,132209,77883,leakfree_pykt_v4
ednet,simplekt,0,temperature,0.054717,0.658462,0.213098,132209,77883,leakfree_pykt_v4
ednet,simplekt,1,none,0.131505,0.659407,0.232739,132209,110391,leakfree_pykt_v4
ednet,simplekt,1,platt,0.027212,0.659407,0.209374,132209,110391,leakfree_pykt_v4
ednet,simplekt,1,isotonic,0.024289,0.660078,0.208279,132209,110391,leakfree_pykt_v4
ednet,simplekt,1,temperature,0.064405,0.659407,0.213304,132209,110391,leakfree_pykt_v4
ednet,simplekt,2,none,0.146602,0.657867,0.237687,132209,85108,leakfree_pykt_v4
ednet,simplekt,2,platt,0.015227,0.657867,0.20911,132209,85108,leakfree_pykt_v4
ednet,simplekt,2,isotonic,0.005364,0.658349,0.208179,132209,85108,leakfree_pykt_v4
ednet,simplekt,2,temperature,0.053176,0.657867,0.212845,132209,85108,leakfree_pykt_v4
ednet,simplekt,3,none,0.144161,0.65679,0.237052,132209,90433,leakfree_pykt_v4
ednet,simplekt,3,platt,0.022343,0.65679,0.209597,132209,90433,leakfree_pykt_v4
ednet,simplekt,3,isotonic,0.019226,0.657679,0.20876,132209,90433,leakfree_pykt_v4
ednet,simplekt,3,temperature,0.061394,0.65679,0.213531,132209,90433,leakfree_pykt_v4
ednet,simplekt,4,none,0.143703,0.653691,0.238855,132209,92249,leakfree_pykt_v4
ednet,simplekt,4,platt,0.028101,0.653691,0.210264,132209,92249,leakfree_pykt_v4
ednet,simplekt,4,isotonic,0.004199,0.655073,0.208745,132209,92249,leakfree_pykt_v4
ednet,simplekt,4,temperature,0.07878,0.653691,0.217786,132209,92249,leakfree_pykt_v4
