dataset,model,fold,method,ece,auc,brier,n_test,n_valid,pipeline
algebra2005,simplekt,1,platt,0.017339,0.814078,0.137823,92945,111871,leakfree_pykt_v4
algebra2005,simplekt,1,isotonic,0.01132,0.813905,0.137595,92945,111871,leakfree_pykt_v4
algebra2005,simplekt,1,temperature,0.019294,0.814078,0.138201,92945,111871,leakfree_pykt_v4
algebra2005,simplekt,2,none,0.065425,0.815247,0.1417,92945,100740,leakfree_pykt_v4
algebra2005,simplekt,2,platt,0.009946,0.815247,0.136517,92945,100740,leakfree_pykt_v4
algebra2005,simplekt,2,isotonic,0.004745,0.815138,0.136381,92945,100740,leakfree_pykt_v4
algebra2005,simplekt,2,temperature,0.011276,0.815247,0.13668,92945,100740,leakfree_pykt_v4
algebra2005,simplekt,3,none,0.066805,0.816694,0.141712,92945,94885,leakfree_pykt_v4
algebra2005,simplekt,3,platt,0.010671,0.816694,0.136135,92945,94885,leakfree_pykt_v4
algebra2005,simplekt,3,isotonic,0.00297,0.816465,0.135957,92945,94885,leakfree_pykt_v4
algebra2005,simplekt,3,temperature,0.013477,0.816694,0.136506,92945,94885,leakfree_pykt_v4
algebra2005,simplekt,4,none,0.042426,0.812816,0.142525,92945,89450,leakfree_pykt_v4
algebra2005,simplekt,4,platt,0.022667,0.812816,0.138847,92945,89450,leakfree_pykt_v4
algebra2005,simplekt,4,isotonic,0.005607,0.812646,0.137914,92945,89450,leakfree_pykt_v4
algebra2005,simplekt,4,temperature,0.034192,0.812816,0.140643,92945,89450,leakfree_pykt_v4
assist2009,akt,0,none,0.022129,0.761532,0.184293,52254,43171,leakfree_pykt_v4
assist2009,akt,0,platt,0.012379,0.761532,0.184038,52254,43171,leakfree_pykt_v4
assist2009,akt,0,isotonic,0.010829,0.761307,0.18398,52254,43171,leakfree_pykt_v4
assist2009,akt,0,temperature,0.007884,0.761532,0.183808,52254,43171,leakfree_pykt_v4
assist2009,akt,1,none,0.016864,0.7586,0.184926,52254,43942,leakfree_pykt_v4
assist2009,akt,1,platt,0.014141,0.7586,0.184882,52254,43942,leakfree_pykt_v4
