kind,dataset,key,quantity,point,ci_low,ci_high,boot_mean,n_students,n_cells,n_rows
path,algebra2005,isotonic,mean_mismatched,0.05964872349217193,0.053857395589827384,0.06645771731985253,0.05986944662532137,114,20,92945
path,algebra2005,isotonic,mean_coherent,0.006669168764223366,0.006396997118993407,0.013653939900319923,0.008335004303327908,114,20,92945
path,algebra2005,isotonic,delta,0.05297955472794856,0.04069564090756361,0.058316466354673115,0.05153444232199346,114,20,92945
path,algebra2005,isotonic,ratio,8.943951727860963,4.026014118525577,9.755026098527606,7.527387309398761,114,20,92945
path,algebra2005,platt,mean_mismatched,0.05375155961722148,0.050643305223224265,0.05718949253406941,0.0539522212414654,114,20,92945
path,algebra2005,platt,mean_coherent,0.012327298424001041,0.011174039050216859,0.017150660485535717,0.013328826598702841,114,20,92945
path,algebra2005,platt,delta,0.04142426119322044,0.0349022829581473,0.04507617248794925,0.04062339464276255,114,20,92945
path,algebra2005,platt,ratio,4.360368165710023,3.0692978874364014,4.959531426139788,4.099452597140633,114,20,92945
path,algebra2005,temperature,mean_mismatched,0.047027702155320796,0.04264392755984354,0.051871598207497434,0.04712348785380289,114,20,92945
path,algebra2005,temperature,mean_coherent,0.01989185473282581,0.014933314603170503,0.028263429286903986,0.020763710402590323,114,20,92945
path,algebra2005,temperature,delta,0.027135847422494985,0.01519773725675787,0.03634197742079946,0.02635977745121256,114,20,92945
path,algebra2005,temperature,ratio,2.3641687910436544,1.5409871325359075,3.412141167430917,2.350536066423384,114,20,92945
ability_group,algebra2005,overall,ece,0.006582488190067242,0.006389466961901525,0.013644608948023837,0.008337701060647974,114,20,91805
ability_group,algebra2005,group0,ece,0.01086553163102312,0.008424086954511563,0.025323428766302194,0.01352355836082527,41,20,91805
ability_group,algebra2005,group1,ece,0.011973903559615114,0.007615561649386058,0.023525882657219343,0.013607417068571919,73,20,91805
ability_group,algebra2005,ratio_low_over_overall,ratio,1.6506724079534012,0.7603267801796348,3.3839688942194917,1.7116568556208906,41,20,91805
path,assist2009,isotonic,mean_mismatched,0.03686419548067459,0.03237064889249372,0.04277724036586325,0.0374408261186499,770,20,52254
path,assist2009,isotonic,mean_coherent,0.012736022916074374,0.008697058258513314,0.02081773468573515,0.013886278429459543,770,20,52254
path,assist2009,isotonic,delta,0.024128172564600217,0.01781667105251652,0.028325743145825696,0.023554547689190356,770,20,52254
path,assist2009,isotonic,ratio,2.8944825023946525,1.9130117676352856,4.076223477242599,2.8129680182570738,770,20,52254
path,assist2009,platt,mean_mismatched,0.029903387695104987,0.025962955454522325,0.03502542890668679,0.03050551575567623,770,20,52254
path,assist2009,platt,mean_coherent,0.013359393040599434,0.009215653801597504,0.021292124246020828,0.014400048001820744,770,20,52254
path,assist2009,platt,delta,0.016543994654505553,0.008921814284022101,0.022550213427987485,0.016105467753855487,770,20,52254
path,assist2009,platt,ratio,2.238379214102621,1.4513502047313325,3.364517219574017,2.2149318505467304,770,20,52254
path,assist2009,temperature,mean_mismatched,0.03148130723988487,0.027918557639687737,0.03662011750447554,0.032147983651784895,770,20,52254
path,assist2009,temperature,mean_coherent,0.01089464602049504,0.01129445183894442,0.015491665162569532,0.012855427369014068,770,20,52254
path,assist2009,temperature,delta,0.02058666121938983,0.013399390150275836,0.023482315743921907,0.019292556282770826,770,20,52254
path,assist2009,temperature,ratio,2.8896126758650205,1.88809106386477,2.9344730022660177,2.518800628535939,770,20,52254
ability_group,assist2009,overall,ece,0.013682246034262366,0.009200356634415915,0.022378748803402838,0.014814588194330534,482,20,45263
ability_group,assist2009,group0,ece,0.04663139115015402,0.0351236407599295,0.06432705326419483,0.048529500951902976,111,20,45263
ability_group,assist2009,group1,ece,0.040272327018132006,0.02183685098195472,0.06555190084315174,0.041875546058720285,109,20,45263
ability_group,assist2009,group2,ece,0.01906771294419409,0.018102982311804884,0.03102063041125303,0.023585305645728322,74,20,45263
ability_group,assist2009,group3,ece,0.00838048178468433,0.009382681906138023,0.01607606803563678,0.011797649108311756,188,20,45263
ability_group,assist2009,ratio_low_over_overall,ratio,3.408167857337321,2.0993744937336034,5.429131999591386,3.424598564109573,111,20,45263
path,assist2012,isotonic,mean_mismatched,0.0021817429369730616,0.0022540648607338957,0.003490084741812639,0.0026936108436136285,5497,20,536087
path,assist2012,isotonic,mean_coherent,0.0021808657910955737,0.0022506550477777087,0.003487601496088835,0.002690890248792873,5497,20,536087
path,assist2012,isotonic,delta,8.771458774878629e-07,-1.7809681855506073e-05,2.2277579066561778e-05,2.720594820755077e-06,5497,20,536087
path,assist2012,isotonic,ratio,1.0004022007594733,0.9931296736872249,1.0086119848940907,1.0010295141763295,5497,20,536087
path,assist2012,platt,mean_mismatched,0.0030246102802443395,0.003059351573731408,0.0040662284138268685,0.003469668990032814,5497,20,536087
path,assist2012,platt,mean_coherent,0.0030245329252856197,0.0030601594379249973,0.004065990266098863,0.0034696340838989456,5497,20,536087
path,assist2012,platt,delta,7.735495871977194e-08,-9.88798142836022e-07,7.343534367162864e-07,3.490613386700381e-08,5497,20,536087
path,assist2012,platt,ratio,1.0000255758362135,0.9997057249882001,1.0002127237210192,1.0000091687869352,5497,20,536087
path,assist2012,temperature,mean_mismatched,0.00673393469429866,0.006473245607901746,0.0076262668998680495,0.006992909378049363,5497,20,536087
path,assist2012,temperature,mean_coherent,0.006733899958002894,0.006473249115532067,0.00762625041428807,0.006992883951913956,5497,20,536087
path,assist2012,temperature,delta,3.473629576599552e-08,-7.33682935540091e-08,1.1733292500735316e-07,2.5426135408429267e-08,5497,20,536087
path,assist2012,temperature,ratio,1.0000051584217144,0.9999898147274615,1.0000167290441517,1.0000036931190155,5497,20,536087
ability_group,assist2012,overall,ece,0.0031155893046945528,0.002709658167556503,0.004621448638068353,0.003456846122078966,3984,20,485730
ability_group,assist2012,group0,ece,0.013762152496922395,0.010374246723516476,0.01813999928940353,0.014113997380600355,908,20,485730
ability_group,assist2012,group1,ece,0.006453490689897914,0.0055010687604954665,0.011832927362474746,0.00797710185291019,476,20,485730
ability_group,assist2012,group2,ece,0.0033853799381149746,0.0032414882434248786,0.006273309476133624,0.0043594030443113475,1377,20,485730
ability_group,assist2012,group3,ece,0.006596647050917584,0.005031968130120832,0.009672460181764573,0.007038587011374011,1223,20,485730
