dataset,granularity,model,fold,method,reference,ece_method,ece_reference,delta_ece,ci_low,ci_high,p,best_lambda,n_students,family_key,p_holm,reject_holm,family_size
algebra2005,concept,dkt,0,none,isotonic,0.009364981241350946,0.006374502552125651,0.0029904786892252944,0.0003201728566749466,0.005242558634003231,0.023797620237976203,5000.0,114,concept|f0|none,0.1665833416658334,False,28
algebra2005,concept,dkt,0,concept_aware_lambda0,isotonic,0.008041183990861626,0.006374502552125651,0.0016666814387359744,-0.0007053973728993902,0.0023757985624495363,0.19118088191180882,5000.0,114,concept|f0|concept_aware_lambda0,0.6927307269273073,False,28
algebra2005,concept,dkt,0,concept_aware_eb,isotonic,0.006060098106800511,0.006374502552125651,-0.0003144044453251404,-0.0013641063317053734,0.00011703680848540656,0.11938806119388061,5000.0,114,concept|f0|concept_aware_eb,1.0,False,28
algebra2005,concept,dkt,0,difficulty_bucket,isotonic,0.00638603954073782,0.006374502552125651,1.1536988612168182e-05,-0.00014863860282804574,0.00017763946198680759,0.9567043295670433,5000.0,114,concept|f0|difficulty_bucket,1.0,False,28
algebra2005,concept,dkt,1,none,isotonic,0.005859255565591514,0.005797773175308806,6.148239028270792e-05,-0.00786898033419781,0.008468926239378394,0.9943005699430058,inf,114,concept|f1|none,1.0,False,28
algebra2005,concept,dkt,1,concept_aware_lambda0,isotonic,0.007602607106684844,0.005797773175308806,0.0018048339313760384,0.00018769054042240256,0.0031647832371991492,0.027597240275972403,inf,114,concept|f1|concept_aware_lambda0,0.1735826417358264,False,28
algebra2005,concept,dkt,1,concept_aware_eb,isotonic,0.005797773175308806,0.005797773175308806,0.0,0.0,0.0,1.0,inf,114,concept|f1|concept_aware_eb,1.0,False,28
algebra2005,concept,dkt,1,difficulty_bucket,isotonic,0.005893143646861001,0.005797773175308806,9.537047155219573e-05,-0.0001554350104897449,0.00015852177733146765,0.8989101089891011,inf,114,concept|f1|difficulty_bucket,1.0,False,28
algebra2005,concept,dkt,2,none,isotonic,0.003852718495234163,0.003559223044171273,0.0002934954510628901,-0.0034343737730456224,0.005299578662729178,0.9551044895510449,inf,114,concept|f2|none,1.0,False,28
algebra2005,concept,dkt,2,concept_aware_lambda0,isotonic,0.005057989877535144,0.003559223044171273,0.0014987668333638713,-0.0005915742308116339,0.0029866597558788547,0.19518048195180482,inf,114,concept|f2|concept_aware_lambda0,0.3047695230476952,False,28
algebra2005,concept,dkt,2,concept_aware_eb,isotonic,0.003559223044171273,0.003559223044171273,0.0,0.0,0.0,1.0,inf,114,concept|f2|concept_aware_eb,1.0,False,28
algebra2005,concept,dkt,2,difficulty_bucket,isotonic,0.0035558396316061358,0.003559223044171273,-3.3834125651370332e-06,-9.249767401662934e-05,0.0002443109120791543,0.9175082491750824,inf,114,concept|f2|difficulty_bucket,1.0,False,28
algebra2005,concept,dkt,3,none,isotonic,0.0031618876401500835,0.002485079011042532,0.0006768086291075513,-0.0017692074976963948,0.0025864514227177744,0.7951204879512048,5000.0,114,concept|f3|none,1.0,False,28
algebra2005,concept,dkt,3,concept_aware_lambda0,isotonic,0.0036821702106075386,0.002485079011042532,0.0011970911995650064,-0.00014166185839906872,0.0029174787964651185,0.07379262073792621,5000.0,114,concept|f3|concept_aware_lambda0,0.36896310368963103,False,28
