dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
assist2015,dkt,none,5,"0,1,2,3,4",0.0092,0.0026,0.7266,0.0004,0.1706,0.0001,134592
assist2015,dkt,platt,5,"0,1,2,3,4",0.007,0.0058,0.7266,0.0004,0.1706,0.0001,134592
assist2015,dkt,temperature,5,"0,1,2,3,4",0.0078,0.0051,0.7266,0.0004,0.1706,0.0001,134592
assist2015,sakt,isotonic,5,"0,1,2,3,4",0.0061,0.0009,0.7043,0.0005,0.175,0.0001,134592
assist2015,sakt,none,5,"0,1,2,3,4",0.0212,0.0038,0.7045,0.0006,0.1755,0.0002,134592
assist2015,sakt,platt,5,"0,1,2,3,4",0.0062,0.0016,0.7045,0.0006,0.175,0.0001,134592
assist2015,sakt,temperature,5,"0,1,2,3,4",0.0064,0.0008,0.7045,0.0006,0.175,0.0001,134592
assist2015,simplekt,isotonic,5,"0,1,2,3,4",0.0052,0.0008,0.7175,0.0012,0.1724,0.0002,134592
assist2015,simplekt,none,5,"0,1,2,3,4",0.0202,0.0087,0.7177,0.0013,0.1729,0.0006,134592
assist2015,simplekt,platt,5,"0,1,2,3,4",0.0058,0.0007,0.7177,0.0013,0.1724,0.0002,134592
assist2015,simplekt,temperature,5,"0,1,2,3,4",0.0126,0.0046,0.7177,0.0013,0.1726,0.0003,134592
assist2017,akt,isotonic,5,"0,1,2,3,4",0.0055,0.0008,0.6682,0.0006,0.2125,0.0001,177767
assist2017,akt,none,5,"0,1,2,3,4",0.0101,0.0013,0.6683,0.0005,0.2126,0.0001,177767
assist2017,akt,platt,5,"0,1,2,3,4",0.0098,0.0006,0.6683,0.0005,0.2126,0.0001,177767
assist2017,akt,temperature,5,"0,1,2,3,4",0.0096,0.0013,0.6683,0.0005,0.2126,0.0001,177767
assist2017,dkt,isotonic,5,"0,1,2,3,4",0.0047,0.0014,0.715,0.0013,0.2016,0.0004,177767
assist2017,dkt,none,5,"0,1,2,3,4",0.0137,0.0046,0.7152,0.0014,0.2018,0.0005,177767
assist2017,dkt,platt,5,"0,1,2,3,4",0.0048,0.001,0.7152,0.0014,0.2016,0.0004,177767
assist2017,dkt,temperature,5,"0,1,2,3,4",0.015,0.0048,0.7152,0.0014,0.2018,0.0005,177767
assist2017,sakt,isotonic,5,"0,1,2,3,4",0.004,0.0007,0.6529,0.001,0.216,0.0003,177767
assist2017,sakt,none,5,"0,1,2,3,4",0.0106,0.0025,0.653,0.001,0.2161,0.0002,177767
assist2017,sakt,platt,5,"0,1,2,3,4",0.0054,0.0012,0.653,0.001,0.2159,0.0003,177767
assist2017,sakt,temperature,5,"0,1,2,3,4",0.0078,0.0029,0.653,0.001,0.216,0.0002,177767
assist2017,simplekt,isotonic,5,"0,1,2,3,4",0.0041,0.0016,0.7549,0.0025,0.1888,0.0009,177767
assist2017,simplekt,none,5,"0,1,2,3,4",0.0231,0.0058,0.755,0.0025,0.1895,0.0007,177767
assist2017,simplekt,platt,5,"0,1,2,3,4",0.0074,0.0025,0.755,0.0025,0.1888,0.0008,177767
assist2017,simplekt,temperature,5,"0,1,2,3,4",0.0174,0.0098,0.755,0.0025,0.1892,0.0008,177767
bridge2algebra2006,akt,isotonic,5,"0,1,2,3,4",0.003,0.0009,0.7693,0.0005,0.1148,0.0001,352370
bridge2algebra2006,akt,none,5,"0,1,2,3,4",0.0022,0.0003,0.7694,0.0005,0.1148,0.0001,352370
bridge2algebra2006,akt,platt,5,"0,1,2,3,4",0.0033,0.0008,0.7694,0.0005,0.1148,0.0001,352370
bridge2algebra2006,akt,temperature,5,"0,1,2,3,4",0.0028,0.0009,0.7694,0.0005,0.1148,0.0001,352370
bridge2algebra2006,dkt,isotonic,5,"0,1,2,3,4",0.0031,0.0008,0.7954,0.0011,0.1088,0.0003,352370
bridge2algebra2006,dkt,none,5,"0,1,2,3,4",0.0043,0.0008,0.7955,0.0012,0.1088,0.0003,352370
bridge2algebra2006,dkt,platt,5,"0,1,2,3,4",0.0032,0.0008,0.7955,0.0012,0.1088,0.0003,352370
bridge2algebra2006,dkt,temperature,5,"0,1,2,3,4",0.0049,0.002,0.7955,0.0012,0.1088,0.0003,352370
bridge2algebra2006,sakt,isotonic,5,"0,1,2,3,4",0.0029,0.0007,0.7607,0.0009,0.1152,0.0002,352370
bridge2algebra2006,sakt,none,5,"0,1,2,3,4",0.013,0.0028,0.7608,0.0009,0.1154,0.0001,352370
bridge2algebra2006,sakt,platt,5,"0,1,2,3,4",0.0029,0.0006,0.7608,0.0009,0.1152,0.0002,352370
