dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
assist2017,dkt,none,5,"0,1,2,3,4",0.017069,0.005358,0.715229,0.001859,0.201941,0.000571,177767
assist2017,dkt,platt,5,"0,1,2,3,4",0.005026,0.000556,0.715229,0.001859,0.201542,0.000495,177767
assist2017,dkt,temperature,5,"0,1,2,3,4",0.018362,0.006457,0.715229,0.001859,0.201947,0.000585,177767
assist2017,sakt,isotonic,5,"0,1,2,3,4",0.004081,0.000902,0.652795,0.001058,0.215945,0.000255,177767
assist2017,sakt,none,5,"0,1,2,3,4",0.010666,0.001465,0.652963,0.000988,0.216047,0.000199,177767
assist2017,sakt,platt,5,"0,1,2,3,4",0.005127,0.000715,0.652963,0.000988,0.215902,0.000241,177767
assist2017,sakt,temperature,5,"0,1,2,3,4",0.007894,0.002162,0.652963,0.000988,0.215953,0.000197,177767
assist2017,simplekt,isotonic,5,"0,1,2,3,4",0.004051,0.001581,0.754855,0.002494,0.188796,0.00089,177767
assist2017,simplekt,none,5,"0,1,2,3,4",0.023126,0.005775,0.754952,0.002499,0.189447,0.000725,177767
assist2017,simplekt,platt,5,"0,1,2,3,4",0.007368,0.002453,0.754952,0.002499,0.188799,0.000852,177767
assist2017,simplekt,temperature,5,"0,1,2,3,4",0.017427,0.009821,0.754952,0.002499,0.189228,0.000804,177767
bridge2algebra2006,akt,isotonic,5,"0,1,2,3,4",0.002694,0.000781,0.806366,0.000694,0.107539,0.000168,352370
bridge2algebra2006,akt,none,5,"0,1,2,3,4",0.007103,0.001183,0.806465,0.000692,0.107585,0.00022,352370
bridge2algebra2006,akt,platt,5,"0,1,2,3,4",0.002992,0.000851,0.806465,0.000692,0.10752,0.000166,352370
bridge2algebra2006,akt,temperature,5,"0,1,2,3,4",0.005034,0.002397,0.806465,0.000692,0.107583,0.000235,352370
bridge2algebra2006,dkt,isotonic,5,"0,1,2,3,4",0.003353,0.000921,0.795377,0.000718,0.108813,0.000217,352370
bridge2algebra2006,dkt,none,5,"0,1,2,3,4",0.00589,0.001015,0.795469,0.000741,0.108854,0.00023,352370
bridge2algebra2006,dkt,platt,5,"0,1,2,3,4",0.003132,0.001157,0.795469,0.000741,0.108786,0.000221,352370
bridge2algebra2006,dkt,temperature,5,"0,1,2,3,4",0.005813,0.001664,0.795469,0.000741,0.108854,0.000248,352370
bridge2algebra2006,sakt,isotonic,5,"0,1,2,3,4",0.003026,0.000966,0.760984,0.000671,0.115143,9.6e-05,352370
bridge2algebra2006,sakt,none,5,"0,1,2,3,4",0.014125,0.002544,0.761127,0.000666,0.115455,0.00013,352370
bridge2algebra2006,sakt,platt,5,"0,1,2,3,4",0.002985,0.000707,0.761127,0.000666,0.115119,9e-05,352370
bridge2algebra2006,sakt,temperature,5,"0,1,2,3,4",0.010573,0.00215,0.761127,0.000666,0.115413,0.00012,352370
bridge2algebra2006,simplekt,isotonic,5,"0,1,2,3,4",0.003079,0.001055,0.805833,0.001449,0.107009,0.000483,352370
bridge2algebra2006,simplekt,none,5,"0,1,2,3,4",0.019206,0.00974,0.805958,0.001428,0.107615,0.000955,352370
bridge2algebra2006,simplekt,platt,5,"0,1,2,3,4",0.006186,0.002333,0.805958,0.001428,0.107061,0.000456,352370
bridge2algebra2006,simplekt,temperature,5,"0,1,2,3,4",0.01248,0.005207,0.805958,0.001428,0.107366,0.000629,352370
ednet,akt,isotonic,5,"0,1,2,3,4",0.013165,0.008916,0.610526,0.002579,0.216864,0.000349,132209
ednet,akt,none,5,"0,1,2,3,4",0.093004,0.001389,0.609707,0.002456,0.234039,0.000699,132209
ednet,akt,platt,5,"0,1,2,3,4",0.013788,0.009658,0.609707,0.002456,0.217653,0.000247,132209
ednet,akt,temperature,5,"0,1,2,3,4",0.067272,0.004502,0.609707,0.002456,0.223576,0.000259,132209
ednet,dkt,isotonic,5,"0,1,2,3,4",0.014428,0.009632,0.607329,0.001026,0.217005,0.000261,132209
ednet,dkt,none,5,"0,1,2,3,4",0.089399,0.001625,0.606086,0.001051,0.230899,0.000957,132209
ednet,dkt,platt,5,"0,1,2,3,4",0.017243,0.008285,0.606086,0.001051,0.217769,0.000371,132209
ednet,dkt,temperature,5,"0,1,2,3,4",0.063098,0.004971,0.606086,0.001051,0.223209,0.000495,132209
ednet,sakt,isotonic,5,"0,1,2,3,4",0.013206,0.009955,0.605686,0.001778,0.217203,0.000545,132209
ednet,sakt,none,5,"0,1,2,3,4",0.120402,0.011007,0.605478,0.001695,0.240048,0.003519,132209
ednet,sakt,platt,5,"0,1,2,3,4",0.013885,0.010994,0.605478,0.001695,0.217729,0.000478,132209
ednet,sakt,temperature,5,"0,1,2,3,4",0.069524,0.012071,0.605478,0.001695,0.223849,0.001671,132209
ednet,simplekt,isotonic,5,"0,1,2,3,4",0.012117,0.009059,0.65795,0.001832,0.208455,0.000276,132209
ednet,simplekt,none,5,"0,1,2,3,4",0.142708,0.006469,0.657243,0.002201,0.236821,0.002372,132209
ednet,simplekt,platt,5,"0,1,2,3,4",0.021922,0.005877,0.657243,0.002201,0.209477,0.000493,132209
ednet,simplekt,temperature,5,"0,1,2,3,4",0.062495,0.010215,0.657243,0.002201,0.214113,0.002069,132209
